"ID","Title","Expected Result","Priority","Section","Section Depth","Section Description","Section Hierarchy","Steps","Steps","Steps (Additional Info)","Steps (Expected Result)","Steps (References)","Steps (Step)","Type"
"C407663","Verify Behavior When EUR PriceList Does Not Exist","","Medium","Store default currency","2","","Multi-step checkout > Cart > Keep Cart Products if Change Currency > Store default currency","","Step Description:
1. Add products with USD prices to the cart.
2. Ensure no EUR PriceList exists for these products.
3. Switch the currency to EUR.
4. Check the EUR cart.
Expected Result:
Products are shown with a 0 EUR price or a clear unavailable message.
No crashes or freezes occur.","","Products are shown with a 0 EUR price or a clear unavailable message.
No crashes or freezes occur.","","1. Add products with USD prices to the cart.
2. Ensure no EUR PriceList exists for these products.
3. Switch the currency to EUR.
4. Check the EUR cart.","Other"
"C407664","Validate Switch Currency with Mixed Product Variants","","Medium","Store default currency","2","","Multi-step checkout > Cart > Keep Cart Products if Change Currency > Store default currency","","Step Description:
1. Add products with multiple variants to the USD cart.
2. Ensure only some variants have EUR prices.
3. Switch the currency to EUR.
4. Verify the cart behavior.
Expected Result:
Variants with EUR prices are displayed correctly.
Variants without EUR prices are shown with 0 EUR or an unavailable message.
Quantities remain consistent.","","Variants with EUR prices are displayed correctly.
Variants without EUR prices are shown with 0 EUR or an unavailable message.
Quantities remain consistent.","","1. Add products with multiple variants to the USD cart.
2. Ensure only some variants have EUR prices.
3. Switch the currency to EUR.
4. Verify the cart behavior.","Other"
"C407421","Add Product > merge cart > anonymously then login","","Medium","Merge carts","1","","Multi-step checkout > Cart > Merge carts","","Step Description:
1. Open any Category.
2. Choose Product_1
3. Enter N amount to the field near the button Add to cart (for example  2)
4. Click Add to cart.


Expected Result:
1. Product_1 added to the cart in amount of 2 items


","","1. Product_1 added to the cart in amount of 2 items


","","1. Open any Category.
2. Choose Product_1
3. Enter N amount to the field near the button Add to cart (for example  2)
4. Click Add to cart.

","Automated"
"","","","","","","","","","
Step Description:
1. Check count on Menu near Cart link
Expected Result:
1. Next information is shown: Cart (2)","","1. Next information is shown: Cart (2)","","1. Check count on Menu near Cart link",""
"","","","","","","","","","
Step Description:
1. Login to the store as User_1 
2. Сheck the cart 
Expected Result:
1. Product_1 added to the cart in amount of 2 items
2. Count on Menu near Cart is shown: Cart (2)
","","1. Product_1 added to the cart in amount of 2 items
2. Count on Menu near Cart is shown: Cart (2)
","","1. Login to the store as User_1 
2. Сheck the cart ",""
"C407422","Add Product > merge cart > anonymously then register","","Medium","Merge carts","1","","Multi-step checkout > Cart > Merge carts","","Step Description:
1. Open any Category.
2. Choose Product_1
3. Enter N amount to the field near the button Add to cart (for example  2)
4. Click Add to cart.


Expected Result:
1. Product_1 added to the cart in amount of 2 items


","","1. Product_1 added to the cart in amount of 2 items


","","1. Open any Category.
2. Choose Product_1
3. Enter N amount to the field near the button Add to cart (for example  2)
4. Click Add to cart.

","Automated"
"","","","","","","","","","
Step Description:
1. Check count on Menu near Cart link
Expected Result:
1. Next information is shown: Cart (2)","","1. Next information is shown: Cart (2)","","1. Check count on Menu near Cart link",""
"","","","","","","","","","
Step Description:
1. Register User_1
2. Login as User_1
3. Сheck the cart
Expected Result:
1. Product_1 added to the cart in amount of 2 items
2. Count on Menu near Cart is shown: Cart (2)","","1. Product_1 added to the cart in amount of 2 items
2. Count on Menu near Cart is shown: Cart (2)","","1. Register User_1
2. Login as User_1
3. Сheck the cart",""
"C407423","Add Product > logged in > Menu Cart count","","Medium","Merge carts","1","","Multi-step checkout > Cart > Merge carts","","Step Description:
1. Open any Category.
2. Choose Product_1
3. Enter N to the field near the button Add to cart (for example  2)
4. Click Add to cart.
5. Check count on Menu near Cart link
Expected Result:
1. Next information is shown Cart (2)


","","1. Next information is shown Cart (2)


","","1. Open any Category.
2. Choose Product_1
3. Enter N to the field near the button Add to cart (for example  2)
4. Click Add to cart.
5. Check count on Menu near Cart link","Automated"
"","","","","","","","","","
Step Description:
1. Open any Category.
2. Change the amount in the field near the button Add to cart for the Product_1  (for example 4)
3. Click Add to cart.
4. Check count on Menu near Cart link
Expected Result:
1. Next information shown Cart (4)","","1. Next information shown Cart (4)","","1. Open any Category.
2. Change the amount in the field near the button Add to cart for the Product_1  (for example 4)
3. Click Add to cart.
4. Check count on Menu near Cart link",""
"C407424","Add Product > Anonymously > Menu Cart count","","Medium","Merge carts","1","","Multi-step checkout > Cart > Merge carts","","Step Description:
1. Open any Category.
2. Choose Product_1
3. Enter N to the field near the button Add to cart (for example  2)
4. Click Add to cart.
5. Check count on Menu near Cart link
Expected Result:
1. Next information is shown Cart (2)


","","1. Next information is shown Cart (2)


","","1. Open any Category.
2. Choose Product_1
3. Enter N to the field near the button Add to cart (for example  2)
4. Click Add to cart.
5. Check count on Menu near Cart link","Automated"
"","","","","","","","","","
Step Description:
1. Open any Category.
2. Change the amount in the field near the button Add to cart for the Product_1  (for example 4)
3. Click Add to cart.
4. Check count on Menu near Cart link
Expected Result:
1. Next information shown Cart (4)","","1. Next information shown Cart (4)","","1. Open any Category.
2. Change the amount in the field near the button Add to cart for the Product_1  (for example 4)
3. Click Add to cart.
4. Check count on Menu near Cart link",""
"C407425","Cart Merge After Login (Anonymous Cart + User Cart)","The cart should contain both products from AnonymousCart and UserCart. No products should be lost or duplicated.","High","Merge carts","1","","Multi-step checkout > Cart > Merge carts","1. Add products to the cart as an anonymous user.
2. Log in with a registered customer account.
3. Open the cart.","","","","","","Automated"
"C407426","Merging Logic - No Duplicates","The merged cart should show Product A (Qty: 3) (sum of both carts). No duplicate products should appear.","High","Merge carts","1","","Multi-step checkout > Cart > Merge carts","1. Add Product A (Qty: 1) to the cart as an anonymous user.
2. Log in as a customer (who also has Product A (Qty: 2) in their cart).
3. Open the cart.","","","","","","Automated"
"C407427","Cart Merge When Store Currency Changes","All products should merge into a single currency cart. If any product is unavailable in the new currency, it should be displayed at price 0 with a warning message: 'This product is no longer available for purchase.'","High","Merge carts","1","","Multi-step checkout > Cart > Merge carts","1. As an anonymous user, add products in USD.
2. Log in as a user with a cart in EUR.
3. Check the cart contents.","","","","","","Functional"
"C407428","Cart Merge When User Logs Out & Logs In Again","The merged cart should persist after logout. No products should be lost or duplicated.","High","Merge carts","1","","Multi-step checkout > Cart > Merge carts","1. Log in and verify the merged cart.
2. Log out.
3. Log in again with the same user account.
4. Check the cart contents.","","","","","","Automated"
"C407429","Cart Merge with Different Product Types","The merged cart should contain all products with correct attributes (size, color, etc.). No missing or mismatched products should appear.","Medium","Merge carts","1","","Multi-step checkout > Cart > Merge carts","1. Add different product types to AnonymousCart and UserCart.
2. Log in and open the cart.","","","","","","Functional"
"C407430","One section > View > Desktop","","Medium","Multiselect in cart","1","","Multi-step checkout > Cart > Multiselect in cart","","Step Description:
Go to cart
Verify the check-boxes and Remove selected button
Expected Result:
The next elements are presented:

- """"Remove Selected"""" button is present at the bottom of the section (disabled by default)

- checkbox is added to the header of the section.

- Checkboxes for all line items are shown
","","The next elements are presented:

- ""Remove Selected"" button is present at the bottom of the section (disabled by default)

- checkbox is added to the header of the section.

- Checkboxes for all line items are shown
","","Go to cart
Verify the check-boxes and Remove selected button","Other"
"C407431","One section > One line-item selected","","Medium","Multiselect in cart","1","","Multi-step checkout > Cart > Multiselect in cart","","Step Description:
Go to cart
Select one line-item
Expected Result:
The button """"Remove Selected"""" is activated","","The button ""Remove Selected"" is activated","","Go to cart
Select one line-item","Other"
"","","","","","","","","","
Step Description:
Click on """"Remove Selected""""
Expected Result:
1. The selected line item was deleted from the cart
2. The count in the cart icon refreshed
3. The subtotals and totals recalculated","","1. The selected line item was deleted from the cart
2. The count in the cart icon refreshed
3. The subtotals and totals recalculated","","Click on ""Remove Selected""",""
"C407432","One section > All line-items selected","","Medium","Multiselect in cart","1","","Multi-step checkout > Cart > Multiselect in cart","","Step Description:
Go to cart
Select the check-box in the section header

Expected Result:
1. All line-items in the supplier section are selected
2. The button """"Remove Selected"""" is activated
","","1. All line-items in the supplier section are selected
2. The button ""Remove Selected"" is activated
","","Go to cart
Select the check-box in the section header
","Other"
"","","","","","","","","","
Step Description:
Click on """"Remove Selected""""
Expected Result:
1. Only selected line-items deleted from the cart
2. The count in the cart icon refreshed
3. The subtotals and totals recalculated","","1. Only selected line-items deleted from the cart
2. The count in the cart icon refreshed
3. The subtotals and totals recalculated","","Click on ""Remove Selected""",""
"C407433","One section > All line items selected then unselect one","","Medium","Multiselect in cart","1","","Multi-step checkout > Cart > Multiselect in cart","","Step Description:
Go to cart
Select the check-box in the section header

Expected Result:
1. All line-items in the supplier section are selected
2. The button """"Remove Selected"""" is activated
","","1. All line-items in the supplier section are selected
2. The button ""Remove Selected"" is activated
","","Go to cart
Select the check-box in the section header
","Other"
"","","","","","","","","","
Step Description:
Unselect one line item
Expected Result:
1. Check-box in header unselected
2. Check-box for line-item is unselected
3. Other line-items are  still selected
4. Remove selected is active


 ![](index.php?/attachments/get/099f3862-dcb4-4e87-9f5d-ffbd156f4a03) 





","","1. Check-box in header unselected
2. Check-box for line-item is unselected
3. Other line-items are  still selected
4. Remove selected is active


 ![](index.php?/attachments/get/099f3862-dcb4-4e87-9f5d-ffbd156f4a03) 





","","Unselect one line item",""
"","","","","","","","","","
Step Description:
Click on """"Remove Selected""""
Expected Result:
1. Only selected line-items deleted from the cart
2. The count in the cart icon refreshed
3. The subtotals and totals recalculated","","1. Only selected line-items deleted from the cart
2. The count in the cart icon refreshed
3. The subtotals and totals recalculated","","Click on ""Remove Selected""",""
"C407434","Multiple sections > One line-item selected","","Medium","Multiselect in cart","1","","Multi-step checkout > Cart > Multiselect in cart","","Step Description:
Go to cart
Select one line-item from the second section
Expected Result:
1. Only one line-item selected from the second section
2. The button """"Remove Selected"""" is activated under the second section","","1. Only one line-item selected from the second section
2. The button ""Remove Selected"" is activated under the second section","","Go to cart
Select one line-item from the second section","Other"
"","","","","","","","","","
Step Description:
Click on """"Remove Selected""""
Expected Result:
1. Only selected line-items from second section deleted from the cart
2. The count in the cart icon refreshed
3. The subtotals and totals recalculated
","","1. Only selected line-items from second section deleted from the cart
2. The count in the cart icon refreshed
3. The subtotals and totals recalculated
","","Click on ""Remove Selected""",""
"C407435","Multiple sections > All line-items selected","","Medium","Multiselect in cart","1","","Multi-step checkout > Cart > Multiselect in cart","","Step Description:
Go to cart
Select the check-box in the second section header


Expected Result:
1. All line-items selected from the second section
2. The button """"Remove Selected"""" is activated under the second section","","1. All line-items selected from the second section
2. The button ""Remove Selected"" is activated under the second section","","Go to cart
Select the check-box in the second section header

","Other"
"","","","","","","","","","
Step Description:
Click on """"Remove Selected""""
Expected Result:
1. The second section is disappeared
2. The count in the cart icon refreshed
3. The subtotals and totals recalculated","","1. The second section is disappeared
2. The count in the cart icon refreshed
3. The subtotals and totals recalculated","","Click on ""Remove Selected""",""
"C407436","Multiple sections > Remove Selected","","Medium","Multiselect in cart","1","","Multi-step checkout > Cart > Multiselect in cart","","Step Description:
Go to cart
Select the checkbox in the header of the first section
Expected Result:
1. All line-items in the supplier section are selected
2. The button """"Remove Selected"""" is activated under the first section","","1. All line-items in the supplier section are selected
2. The button ""Remove Selected"" is activated under the first section","","Go to cart
Select the checkbox in the header of the first section","Other"
"","","","","","","","","","
Step Description:
Unselect the checkbox from the first section
Expected Result:
1. All products unselected
2. The button """"Remove Selected"""" is disabled under the first section","","1. All products unselected
2. The button ""Remove Selected"" is disabled under the first section","","Unselect the checkbox from the first section",""
"","","","","","","","","","
Step Description:
Select the checkbox in the header of the second section
Expected Result:
The button """"Remove Selected"""" is activated under the second section","","The button ""Remove Selected"" is activated under the second section","","Select the checkbox in the header of the second section",""
"","","","","","","","","","
Step Description:
Click on """"Remove Selected""""
Expected Result:
1. Only selected line-items from the second section deleted from the cart
2. The count in the cart icon refreshed
3. The subtotals and totals recalculated","","1. Only selected line-items from the second section deleted from the cart
2. The count in the cart icon refreshed
3. The subtotals and totals recalculated","","Click on ""Remove Selected""",""
"C407437","Multiple sections > Delete line-items from all sections","","Medium","Multiselect in cart","1","","Multi-step checkout > Cart > Multiselect in cart","","Step Description:
Go to cart
Select the check-box for all section headers
Expected Result:
1. All line-items selected from all sections
2. The buttons """"Remove Selected"""" are activated under each section","","1. All line-items selected from all sections
2. The buttons ""Remove Selected"" are activated under each section","","Go to cart
Select the check-box for all section headers","Other"
"","","","","","","","","","
Step Description:
Delete line-items from the first section
Expected Result:
1. The first section is disappeared
2. The line-items from the second one are still selected and """"Remove Selected"""" is active
3. The count in the cart icon refreshed
4. The subtotals and totals recalculated","","1. The first section is disappeared
2. The line-items from the second one are still selected and ""Remove Selected"" is active
3. The count in the cart icon refreshed
4. The subtotals and totals recalculated","","Delete line-items from the first section",""
"","","","","","","","","","
Step Description:
Delete line-items from the second section
Expected Result:
1. The cart empty page is shown
2. The cart icon without count is presented
","","1. The cart empty page is shown
2. The cart icon without count is presented
","","Delete line-items from the second section",""
"C407438","Multiple selections > Open cart in different Tabs","","Medium","Multiselect in cart","1","","Multi-step checkout > Cart > Multiselect in cart","","Step Description:
1. Log in &gt; Catalog
2. Open 5 products in different tabs from the catalog page
3. Add these products to the cart in each tab
4. Open the cart from any tab

Expected Result:
The same products are presented in the cart for all tabs","","The same products are presented in the cart for all tabs","","1. Log in &gt; Catalog
2. Open 5 products in different tabs from the catalog page
3. Add these products to the cart in each tab
4. Open the cart from any tab
","Other"
"","","","","","","","","","
Step Description:
Open the cart page in different tabs
Select the checkbox in the header of section
Remove Selected
Check the cart in all tabs
Expected Result:
The same products and line-items qty are presented in the cart for all tabs
The count in the cart is refreshed","","The same products and line-items qty are presented in the cart for all tabs
The count in the cart is refreshed","","Open the cart page in different tabs
Select the checkbox in the header of section
Remove Selected
Check the cart in all tabs",""
"C407452","One section > View > Mobile","","Medium","Mobile","2","","Multi-step checkout > Cart > Multiselect in cart > Mobile","","Step Description:
Go to cart
Verify the check-boxes and Remove selected button
Expected Result:
The next elements are presented:

- Checkboxes for all line items are shown

- """"Remove all"""" under each section

- """"Remove Selected"""" button is shown in the bottom menu after the selection line-item








","","The next elements are presented:

- Checkboxes for all line items are shown

- ""Remove all"" under each section

- ""Remove Selected"" button is shown in the bottom menu after the selection line-item








","","Go to cart
Verify the check-boxes and Remove selected button","Other"
"C407453","One section > All line-items selected","","Medium","Mobile","2","","Multi-step checkout > Cart > Multiselect in cart > Mobile","","Step Description:
Go to cart
Select the check-boxes near the line-items

Expected Result:
1. All line-items in the supplier section are selected

2. The button """"Remove Selected"""" is activated in the bottom menu
","","1. All line-items in the supplier section are selected

2. The button ""Remove Selected"" is activated in the bottom menu
","","Go to cart
Select the check-boxes near the line-items
","Other"
"","","","","","","","","","
Step Description:
Click on """"Remove Selected""""
Expected Result:
1. Only selected line-items deleted from the cart
2. The count in the cart icon refreshed
3. The subtotals and totals recalculated","","1. Only selected line-items deleted from the cart
2. The count in the cart icon refreshed
3. The subtotals and totals recalculated","","Click on ""Remove Selected""",""
"C407454","Multiple sections > Delete line-items from all sections","","Medium","Mobile","2","","Multi-step checkout > Cart > Multiselect in cart > Mobile","","Step Description:
Go to cart
Select the check-boxes for all line-items
Expected Result:
1. All line-items selected from all sections
2. The button """"Remove Selected"""" is shown in bottom menu","","1. All line-items selected from all sections
2. The button ""Remove Selected"" is shown in bottom menu","","Go to cart
Select the check-boxes for all line-items","Other"
"","","","","","","","","","
Step Description:
Delete line-items from the first section
Expected Result:
1. The first section is disappeared
2. The line-items from the second one are still selected and """"Remove Selected"""" is shown
3. The count in the cart icon refreshed
4. The subtotals and totals recalculated","","1. The first section is disappeared
2. The line-items from the second one are still selected and ""Remove Selected"" is shown
3. The count in the cart icon refreshed
4. The subtotals and totals recalculated","","Delete line-items from the first section",""
"","","","","","","","","","
Step Description:
Delete line-items from the second section
Expected Result:
1. The cart empty page is shown
2. The cart icon without count is presented
","","1. The cart empty page is shown
2. The cart icon without count is presented
","","Delete line-items from the second section",""
"C407455","Multiple sections > Remove all","","Medium","Mobile","2","","Multi-step checkout > Cart > Multiselect in cart > Mobile","","Step Description:
Tap on the button Remove all under the first section
Expected Result:
1. All products from the section were deleted
2. The green notification banner appeared
3. The count in the cart icon refreshed
4. The subtotals and totals recalculated
","","1. All products from the section were deleted
2. The green notification banner appeared
3. The count in the cart icon refreshed
4. The subtotals and totals recalculated
","","Tap on the button Remove all under the first section","Other"
"C407447","Cart1 = empty + Cart2 = selected all > merge carts","","Medium","Merge carts","2","","Multi-step checkout > Cart > Default Selected for checkout = ON > Merge carts","","","","","","","Automated"
"C407448","Cart1 = selected all + Cart2 = selected all > merge carts","","Medium","Merge carts","2","","Multi-step checkout > Cart > Default Selected for checkout = ON > Merge carts","","","","","","","Automated"
"C407449","Cart1 = unselected all + Cart2 = unselected all > merge carts","","Medium","Merge carts","2","","Multi-step checkout > Cart > Default Selected for checkout = ON > Merge carts","","","","","","","Automated"
"C407450","Cart1 = selected all + Cart2 = unselected all > merge carts","","Medium","Merge carts","2","","Multi-step checkout > Cart > Default Selected for checkout = ON > Merge carts","","","","","","","Automated"
"C407451","Cart1 = mixed + Cart2 = mixed > Merge carts","","Medium","Merge carts","2","","Multi-step checkout > Cart > Default Selected for checkout = ON > Merge carts","","","","","","","Automated"
"C407439","Add product to cart from catalog > All products selected by default","","Medium","Add items to cart","2","","Multi-step checkout > Cart > Default Selected for checkout = ON > Add items to cart","","Step Description:
Go to Catalog
Add product to cart 
Open cart
Expected Result:
All added products selected by default","","All added products selected by default","","Go to Catalog
Add product to cart 
Open cart","Automated"
"","","","","","","","","","
Step Description:
Go to any product page
Add product to cart
Open Cart
Expected Result:
All added products selected by default","","All added products selected by default","","Go to any product page
Add product to cart
Open Cart",""
"C407440","Add products to cart via Bulk Order > All products selected by default","","Medium","Add items to cart","2","","Multi-step checkout > Cart > Default Selected for checkout = ON > Add items to cart","","Step Description:
Go to Bulk Order
Enter several product SKUs and qty
Add to cart
Open cart
Expected Result:
All added products selected by default","","All added products selected by default","","Go to Bulk Order
Enter several product SKUs and qty
Add to cart
Open cart","Other"
"C407441","Add All products to cart from wish list > All products selected by default","","Medium","Add items to cart","2","","Multi-step checkout > Cart > Default Selected for checkout = ON > Add items to cart","","Step Description:
Go to the Wish list
Add All products to the cart
Open cart
Expected Result:
All added products selected by default","","All added products selected by default","","Go to the Wish list
Add All products to the cart
Open cart","Automated"
"C407513","Gift is available in cart  > gift selected by default","","Medium","Gift","2","","Multi-step checkout > Cart > Default Selected for checkout = ON > Gift","","Step Description:
Add specific product (promo1)
Go to cart


Expected Result:
The gift is selected by default","","The gift is selected by default","","Add specific product (promo1)
Go to cart

","Other"
"","","","","","","","","","
Step Description:
Unselect the product
Expected Result:
1. Product not selected 
2. Gift also disappeared from the cart","","1. Product not selected 
2. Gift also disappeared from the cart","","Unselect the product",""
"","","","","","","","","","
Step Description:
Select the item again
Expected Result:
1. Product is selected 
2. Gift is available and selected","","1. Product is selected 
2. Gift is available and selected","","Select the item again",""
"","","","","","","","","","
Step Description:
Proceed to checkout
Set shippings and payments
Open Order review page
Expected Result:
Selected product and gift are presented on the page","","Selected product and gift are presented on the page","","Proceed to checkout
Set shippings and payments
Open Order review page",""
"","","","","","","","","","
Step Description:
Place an order
Check order
Expected Result:
The product and gift are presented on the page","","The product and gift are presented on the page","","Place an order
Check order",""
"C407514","Add coupon with gift > gift selected by default","","Medium","Gift","2","","Multi-step checkout > Cart > Default Selected for checkout = ON > Gift","","Step Description:
Add at least 2 products to cart
Open cart


Expected Result:
All products are selected by default","","All products are selected by default","","Add at least 2 products to cart
Open cart

","Other"
"","","","","","","","","","
Step Description:
Add coupon code
Apply
Expected Result:
Gift is available and selected by default","","Gift is available and selected by default","","Add coupon code
Apply",""
"","","","","","","","","","
Step Description:
Uncheck the gift
Expected Result:
The gift remained in the cart and was not selected.","","The gift remained in the cart and was not selected.","","Uncheck the gift",""
"","","","","","","","","","
Step Description:
Remove the coupon code
Expected Result:
The gift was removed from the cart","","The gift was removed from the cart","","Remove the coupon code",""
"","","","","","","","","","
Step Description:
Add coupon code
Apply
Expected Result:
Gift is available and selected by default","","Gift is available and selected by default","","Add coupon code
Apply",""
"C407442","add 4 items > unselect all > select 2 > create an order","","Medium","Select/Unselect","2","","Multi-step checkout > Cart > Default Selected for checkout = ON > Select/Unselect","","Step Description:
Add 4 products to the cart
Open cart
Expected Result:
All products selected by default
Total and subtotal are calculated for all line items","","All products selected by default
Total and subtotal are calculated for all line items","","Add 4 products to the cart
Open cart","Automated"
"","","","","","","","","","
Step Description:
Unselect all
Expected Result:
All products are unselected
The total and subtotal are 0

Proceed to checkout **is disabled**
","","All products are unselected
The total and subtotal are 0

Proceed to checkout **is disabled**
","","Unselect all",""
"","","","","","","","","","
Step Description:
Select only 2 from 4
Expected Result:
Only 2 products are selected
Total and subtotal are calculated for selected line items
Proceed to checkout is activated","","Only 2 products are selected
Total and subtotal are calculated for selected line items
Proceed to checkout is activated","","Select only 2 from 4",""
"","","","","","","","","","
Step Description:
Add shipping address and shipping method
Add billing address and payment method
Open the Order Review page
Check line items and Order Summary
Expected Result:
The order review page contains only selected line items
Total and subtotal are calculated for selected line items


","","The order review page contains only selected line items
Total and subtotal are calculated for selected line items


","","Add shipping address and shipping method
Add billing address and payment method
Open the Order Review page
Check line items and Order Summary",""
"","","","","","","","","","
Step Description:
Click on Place order
Expected Result:
The order was created successfully","","The order was created successfully","","Click on Place order",""
"","","","","","","","","","
Step Description:
Go to cart
Check the other line items
Expected Result:
Only 2 unselected line items remain in the cart

","","Only 2 unselected line items remain in the cart

","","Go to cart
Check the other line items",""
"","","","","","","","","","
Step Description:
Check the order
Expected Result:
The order with selected 2 line items presented. 

**After Order creation:**


* ! All items are selected

* ! Shipments and payments are removed from the cart","","The order with selected 2 line items presented. 

**After Order creation:**


* ! All items are selected

* ! Shipments and payments are removed from the cart","","Check the order",""
"C407443","add mixed items > unselect physical products > create an order","","Medium","Select/Unselect","2","","Multi-step checkout > Cart > Default Selected for checkout = ON > Select/Unselect","","Step Description:
Add physical and digital products to the cart


Expected Result:
All products are selected by default","","All products are selected by default","","Add physical and digital products to the cart

","Automated"
"","","","","","","","","","
Step Description:
Unselect all physical products
Expected Result:
Only digital products are selected
Total and subtotal are calculated for selected line items
Proceed to checkout is activated","","Only digital products are selected
Total and subtotal are calculated for selected line items
Proceed to checkout is activated","","Unselect all physical products",""
"","","","","","","","","","
Step Description:
Click on Proceed to checkout
Add billing address and payment method
Open the Order Review page
Check line items and Order Summary
Expected Result:
1. Shipping step is skipped
2. The order view page contains only the selected items.
3. The total and subtotal are calculated for the selected items.
4. Shipping costs are not included in the Order Summary block.","","1. Shipping step is skipped
2. The order view page contains only the selected items.
3. The total and subtotal are calculated for the selected items.
4. Shipping costs are not included in the Order Summary block.","","Click on Proceed to checkout
Add billing address and payment method
Open the Order Review page
Check line items and Order Summary",""
"","","","","","","","","","
Step Description:
Click on Place order
Expected Result:
The order was created successfully","","The order was created successfully","","Click on Place order",""
"","","","","","","","","","
Step Description:
Go to cart
Check the other line items
Expected Result:
Only unselected line items remain in the cart, but they become selected


**After Order creation:**


* ! All items are selected

* ! Shipments and payments are removed from the cart

","","Only unselected line items remain in the cart, but they become selected


**After Order creation:**


* ! All items are selected

* ! Shipments and payments are removed from the cart

","","Go to cart
Check the other line items",""
"","","","","","","","","","
Step Description:
Check the order
Expected Result:
The order with selected digital products presented","","The order with selected digital products presented","","Check the order",""
"C407444","add mixed items > unselect digital products > create an order","","Medium","Select/Unselect","2","","Multi-step checkout > Cart > Default Selected for checkout = ON > Select/Unselect","","Step Description:
Add physical and digital products to the cart


Expected Result:
All products are selected by default","","All products are selected by default","","Add physical and digital products to the cart

","Automated"
"","","","","","","","","","
Step Description:
Unselect all digital products
Expected Result:
Only physical products are selected
Total and subtotal are calculated for selected line items
Proceed to checkout is activated","","Only physical products are selected
Total and subtotal are calculated for selected line items
Proceed to checkout is activated","","Unselect all digital products",""
"","","","","","","","","","
Step Description:
Click on Proceed to checkout
Add shipping address and shipping method
Add billing address and payment method
Open the Order Review page
Check line items and Order Summary
Expected Result:
1. Shipping step is presented
2. The order view page contains only the selected items.
3. The total and subtotal are calculated for the selected items.
4. Shipping costs are included in the Order Summary block.","","1. Shipping step is presented
2. The order view page contains only the selected items.
3. The total and subtotal are calculated for the selected items.
4. Shipping costs are included in the Order Summary block.","","Click on Proceed to checkout
Add shipping address and shipping method
Add billing address and payment method
Open the Order Review page
Check line items and Order Summary",""
"","","","","","","","","","
Step Description:
Click on Place order
Expected Result:
The order was created successfully","","The order was created successfully","","Click on Place order",""
"","","","","","","","","","
Step Description:
Go to cart
Check the other line items
Expected Result:
Only unselected line items remain in the cart, but selected

**After Order creation:**


* ! All items are selected

* ! Shipments and payments are removed from the cart

","","Only unselected line items remain in the cart, but selected

**After Order creation:**


* ! All items are selected

* ! Shipments and payments are removed from the cart

","","Go to cart
Check the other line items",""
"","","","","","","","","","
Step Description:
Check the order
Expected Result:
The order with selected physical products presented","","The order with selected physical products presented","","Check the order",""
"C407445","select All items > create an order","","Medium","Select/Unselect","2","","Multi-step checkout > Cart > Default Selected for checkout = ON > Select/Unselect","","Step Description:
Add products to the cart
Open cart
Expected Result:
All line items selected by default
Total and subtotal are calculated for all line items","","All line items selected by default
Total and subtotal are calculated for all line items","","Add products to the cart
Open cart","Automated"
"","","","","","","","","","
Step Description:
Finish checkout
Expected Result:
Order was created for all line items from the cart","","Order was created for all line items from the cart","","Finish checkout",""
"","","","","","","","","","
Step Description:
Check cart
Expected Result:
The cart is empty, but not deleted.

","","The cart is empty, but not deleted.

","","Check cart",""
"C407446","Unselect all > Create an order","","Medium","Select/Unselect","2","","Multi-step checkout > Cart > Default Selected for checkout = ON > Select/Unselect","","Step Description:
Unselect all products
Check proceed to the checkout button and order summary
Expected Result:
The Proceed to checkout **is disabled**
The total and subtotal 0","","The Proceed to checkout **is disabled**
The total and subtotal 0","","Unselect all products
Check proceed to the checkout button and order summary","Automated"
"C407462","Subtotal by Vendor > Select one item  > check subtotal /total","","Medium","Subtotal by Vendor. Order summary","3","","Multi-step checkout > Cart > Default Selected for checkout = ON > Select/Unselect > Subtotal by Vendor. Order summary","","Step Description:
Add products to the cart

Unselect all items

Select one in the Vendor section

Pay attention to subtotal and total in the Order Summary
Expected Result:
The subtotal is calculated for the selected item in the """"Vendor"""" section.



 ![](index.php?/attachments/get/9040180d-6cd4-42ac-af21-90b591212acf) 
","","The subtotal is calculated for the selected item in the ""Vendor"" section.



 ![](index.php?/attachments/get/9040180d-6cd4-42ac-af21-90b591212acf) 
","","Add products to the cart

Unselect all items

Select one in the Vendor section

Pay attention to subtotal and total in the Order Summary","Automated"
"C407463","Subtotal by Vendor > Unselect all items  > check subtotal /total","","Medium","Subtotal by Vendor. Order summary","3","","Multi-step checkout > Cart > Default Selected for checkout = ON > Select/Unselect > Subtotal by Vendor. Order summary","","Step Description:
Add products for different vendors to the cart

Unselect all items

Pay attention to subtotal and total in the Order Summary
Expected Result:
1. The subtotal is 0 for each section
2. Total, subtotal, discount, and Tax are 0 in the Order Summary

------------------------------------------------------------




 ![](index.php?/attachments/get/56707f4f-08ce-4e74-98b6-561409703d99) 
","","1. The subtotal is 0 for each section
2. Total, subtotal, discount, and Tax are 0 in the Order Summary

------------------------------------------------------------




 ![](index.php?/attachments/get/56707f4f-08ce-4e74-98b6-561409703d99) 
","","Add products for different vendors to the cart

Unselect all items

Pay attention to subtotal and total in the Order Summary","Automated"
