"ID","Title","Expected Result","Priority","Section","Section Depth","Section Description","Section Hierarchy","Steps","Steps","Steps (Additional Info)","Steps (Expected Result)","Steps (References)","Steps (Step)","Type"
"","","","","","","","","","
Step Description:
Click on X
Expected Result:
The coupon is removed
The field is cleared
Total re-calculated","","The coupon is removed
The field is cleared
Total re-calculated","","Click on X",""
"C407473","Cart > Clear cart (Desktop + Mobile)","","Medium","Multi-step checkout > Cart","0","Settings for multistep checkout:

https://github.com/VirtoCommerce/vc-theme-b2b-vue/blob/demo/config/settings_data.json

- """"checkout_multistep_enabled"""": true","Multi-step checkout > Cart","","Step Description:
Go to the cart
Check the button Clear
Expected Result:
The button Clear is under the product block","","The button Clear is under the product block","","Go to the cart
Check the button Clear","Automated"
"","","","","","","","","","
Step Description:
Click on Clear
Expected Result:
The next elements are presented:

title Clear the cart
Close icon
notification: Do you want to clear your cart?
buttons: Yes, No


","","The next elements are presented:

title Clear the cart
Close icon
notification: Do you want to clear your cart?
buttons: Yes, No


","","Click on Clear",""
"","","","","","","","","","
Step Description:
Click Close Icon
Expected Result:
Pop-up has closed","","Pop-up has closed","","Click Close Icon",""
"","","","","","","","","","
Step Description:
Open the pop-up Clear cart again
Click the button No
Expected Result:
Pop-up has closed
Products stay in the cart","","Pop-up has closed
Products stay in the cart","","Open the pop-up Clear cart again
Click the button No",""
"","","","","","","","","","
Step Description:
Open the pop-up Clear cart again
Click the button Yes
Expected Result:
Pop-up has closed
Products are removed from the cart
The empty Cart page opens","","Pop-up has closed
Products are removed from the cart
The empty Cart page opens","","Open the pop-up Clear cart again
Click the button Yes",""
"C407474","Cart > Proceed to Checkout","","Medium","Multi-step checkout > Cart","0","Settings for multistep checkout:

https://github.com/VirtoCommerce/vc-theme-b2b-vue/blob/demo/config/settings_data.json

- """"checkout_multistep_enabled"""": true","Multi-step checkout > Cart","","","","","","","Automated"
"C407475","Cart > Open in different Tabs","","Medium","Multi-step checkout > Cart","0","Settings for multistep checkout:

https://github.com/VirtoCommerce/vc-theme-b2b-vue/blob/demo/config/settings_data.json

- """"checkout_multistep_enabled"""": true","Multi-step checkout > Cart","","Step Description:
1. Log in &gt; Catalog
2. Open 5 products in different tabs from the catalog page
3. Add these products to the cart in each tab
4. Open the cart from any tab

Expected Result:
The same products are presented in the cart for all tabs","","The same products are presented in the cart for all tabs","","1. Log in &gt; Catalog
2. Open 5 products in different tabs from the catalog page
3. Add these products to the cart in each tab
4. Open the cart from any tab
","Other"
"","","","","","","","","","
Step Description:
Open the cart page in different tabs
Change line-item qty or remove the product from the cart
Check the cart in all tabs
Expected Result:
The same products and line-items qty are presented in the cart for all tabs","","The same products and line-items qty are presented in the cart for all tabs","","Open the cart page in different tabs
Change line-item qty or remove the product from the cart
Check the cart in all tabs",""
"C407476","Cart > Count","","Medium","Multi-step checkout > Cart","0","Settings for multistep checkout:

https://github.com/VirtoCommerce/vc-theme-b2b-vue/blob/demo/config/settings_data.json

- """"checkout_multistep_enabled"""": true","Multi-step checkout > Cart","","Step Description:
Go to catalog
Add 5 products to Cart from different tabs
Check the count near the cart icon in different tabs



Expected Result:
The count is displayed the same from each Tabs","","The count is displayed the same from each Tabs","","Go to catalog
Add 5 products to Cart from different tabs
Check the count near the cart icon in different tabs


","Automated"
"","","","","","","","","","
Step Description:
Go to cart from one of tabs
Change line-item qty
Check the count near the cart icon in different tabs

Expected Result:
The count is displayed the same from each Tabs","","The count is displayed the same from each Tabs","","Go to cart from one of tabs
Change line-item qty
Check the count near the cart icon in different tabs
",""
"","","","","","","","","","
Step Description:
Remove the cart
Check the count near the cart icon in different tabs

Expected Result:
The count near the cart icon disappeared from each Tabs","","The count near the cart icon disappeared from each Tabs","","Remove the cart
Check the count near the cart icon in different tabs
",""
"C407477","Discount displayed","","Medium","Multi-step checkout > Cart","0","Settings for multistep checkout:

https://github.com/VirtoCommerce/vc-theme-b2b-vue/blob/demo/config/settings_data.json

- """"checkout_multistep_enabled"""": true","Multi-step checkout > Cart","","Step Description:
1. Go to the B2B store.
2. Add some products to the cart to match the the Coupon condition.
3. Go to the cart.
4. Enter the coupon code for promotion_1 to the **Promotion code** input field.
5. Click **Apply**.
Expected Result:
1.  The coupon applied. 
2. The cart total is recalculated taking into account the promotion discount.  
3. Discount line shows description for the Promotion_1 and discount related to this promotion_1.","","1.  The coupon applied. 
2. The cart total is recalculated taking into account the promotion discount.  
3. Discount line shows description for the Promotion_1 and discount related to this promotion_1.","","1. Go to the B2B store.
2. Add some products to the cart to match the the Coupon condition.
3. Go to the cart.
4. Enter the coupon code for promotion_1 to the **Promotion code** input field.
5. Click **Apply**.","Other"
"","","","","","","","","","
Step Description:
1. Go to the B2B store.
2. Activate the Promotion condition for the promotion_2 on the BackEnd.
3. Add some products to the cart to match the Coupon and Promotion conditions.
3. Go to the cart.
4. Enter the coupon code for the promotion_1 to the **Promotion code** input field. 
5. Click **Apply**.
Expected Result:
1. The coupon applied.
2. The cart total is recalculated taking into account the promotion discount.  
3. Discount line shows the description for the Promotion_1 and discount related to this promotion_1.
4. Discount line shows the description for the Promotion_2 and discount related to this promotion_2. ","","1. The coupon applied.
2. The cart total is recalculated taking into account the promotion discount.  
3. Discount line shows the description for the Promotion_1 and discount related to this promotion_1.
4. Discount line shows the description for the Promotion_2 and discount related to this promotion_2. ","","1. Go to the B2B store.
2. Activate the Promotion condition for the promotion_2 on the BackEnd.
3. Add some products to the cart to match the Coupon and Promotion conditions.
3. Go to the cart.
4. Enter the coupon code for the promotion_1 to the **Promotion code** input field. 
5. Click **Apply**.",""
"","","","","","","","","","
Step Description:
1. Go to the B2B store.
2. Activate the Promotion condition for the promotion_2 on the BackEnd.
3. Add a long description for Promotion_2 on BackEnd (For example """"Promotion will give a discount from the total of the cart if a registered client will buy the bolts."""".   
4. Add some products to the cart to match the Coupon and Promotion conditions.
5. Go to the cart.
6. Enter the coupon code for the promotion_1 to the **Promotion code** input field.
7. Click **Apply**.
Expected Result:
1. The coupon applied.
2. The cart total is recalculated taking into account the promotion discount.
3. Discount line shows the description in 2 lines only for the Promotion_1 and discount related to this promotion_1. 
4. Discount line shows the description in 2 lines only for the Promotion_2 and discount related to this promotion_2. ","","1. The coupon applied.
2. The cart total is recalculated taking into account the promotion discount.
3. Discount line shows the description in 2 lines only for the Promotion_1 and discount related to this promotion_1. 
4. Discount line shows the description in 2 lines only for the Promotion_2 and discount related to this promotion_2. ","","1. Go to the B2B store.
2. Activate the Promotion condition for the promotion_2 on the BackEnd.
3. Add a long description for Promotion_2 on BackEnd (For example ""Promotion will give a discount from the total of the cart if a registered client will buy the bolts."".   
4. Add some products to the cart to match the Coupon and Promotion conditions.
5. Go to the cart.
6. Enter the coupon code for the promotion_1 to the **Promotion code** input field.
7. Click **Apply**.",""
