"ID","Title","Attachments","Expected Result","Priority","Section","Section Depth","Section Description","Section Hierarchy","Steps","Steps","Steps (Additional Info)","Steps (Expected Result)","Steps (References)","Steps (Step)","Type","is_converted"
"","","","","","","","","","","
Step Description:
<ol>
<li>Open the Sign-in page from the header.</li>
<li>On sigh in form click button Register</li>
</ol>
Expected Result:
<ol>
<li>User redirect to the registration page </li>
<li>Registration form opens</li>
</ol>","","<ol>
<li>User redirect to the registration page </li>
<li>Registration form opens</li>
</ol>","","<ol>
<li>Open the Sign-in page from the header.</li>
<li>On sigh in form click button Register</li>
</ol>","",""
"","","","","","","","","","","
Step Description:
<ol>
<li>Check the register form page.</li>
</ol>
Expected Result:
<ol>
<li>Next elements are presented:</li>
</ol>

<ul>
<li>Header is the same as on usual pages for Anonymous User.</li>
<li>Footer is the same as on usual pages.</li>
<li>Registration form</li>
</ul>","","<ol>
<li>Next elements are presented:</li>
</ol>

<ul>
<li>Header is the same as on usual pages for Anonymous User.</li>
<li>Footer is the same as on usual pages.</li>
<li>Registration form</li>
</ul>","","<ol>
<li>Check the register form page.</li>
</ol>","",""
"","","","","","","","","","","
Step Description:
<ol>
<li>Check the Registration form</li>
</ol>
Expected Result:
<ol>
<li>The title Registration</li>
<li>Switcher between  Personal and Organization (selected by default) accounts</li>
<li>Registration form contains next fields:</li>
</ol>

<ul>
<li>First name (required) </li>
<li>Last name (required)  </li>
<li>Email (required) </li>
<li>Organization Name (required)   </li>
<li>Password (required) with eye icon</li>
<li>Confirm password (required) with eye icon</li>
</ul>

<ol>
<li>Button Register </li>
<li>Tips for creating a strong password</li>
</ol>","","<ol>
<li>The title Registration</li>
<li>Switcher between  Personal and Organization (selected by default) accounts</li>
<li>Registration form contains next fields:</li>
</ol>

<ul>
<li>First name (required) </li>
<li>Last name (required)  </li>
<li>Email (required) </li>
<li>Organization Name (required)   </li>
<li>Password (required) with eye icon</li>
<li>Confirm password (required) with eye icon</li>
</ul>

<ol>
<li>Button Register </li>
<li>Tips for creating a strong password</li>
</ol>","","<ol>
<li>Check the Registration form</li>
</ol>","",""
"C410419","Create account > ORGANIZATION","https://virtowayqa.testrail.io/index.php?/attachments/get/1000003474","","Medium","Registration  (Desktop+Mobile)","0","","Registration  (Desktop+Mobile)","","Step Description:
<ol>
<li>Open the registration form</li>
<li>Select the """"Organization"""" switch</li>
<li>Enter necessary information:</li>
</ol>

<ul>
<li>First name ( eg Contact_1)</li>
<li>Last name</li>
<li>Email_1</li>
<li>Organization Name (eg Organization_1)</li>
<li>Password</li>
<li>Confirm password (Passwords must match)</li>
</ul>

<ol>
<li>Click the button Sign up (enabled by default)</li>
</ol>
Expected Result:
<ol>
<li>The page with the text: """"Registration successfully completed""""</li>
<li>Button Home page</li>
</ol>","","<ol>
<li>The page with the text: ""Registration successfully completed""</li>
<li>Button Home page</li>
</ol>","","<ol>
<li>Open the registration form</li>
<li>Select the ""Organization"" switch</li>
<li>Enter necessary information:</li>
</ol>

<ul>
<li>First name ( eg Contact_1)</li>
<li>Last name</li>
<li>Email_1</li>
<li>Organization Name (eg Organization_1)</li>
<li>Password</li>
<li>Confirm password (Passwords must match)</li>
</ul>

<ol>
<li>Click the button Sign up (enabled by default)</li>
</ol>","Automated","1"
"","","","","","","","","","","
Step Description:
<ol>
<li>Click on the button Home page </li>
</ol>
Expected Result:
<ol>
<li>Home page opens.</li>
</ol>","","<ol>
<li>Home page opens.</li>
</ol>","","<ol>
<li>Click on the button Home page </li>
</ol>","",""
"","","","","","","","","","","
Step Description:
<ol>
<li>Check the mail_1</li>
</ol>
Expected Result:
<ol>
<li>Arrived mail with text """"To complete your create account process please click this link: &lt;link&gt;"""" </li>
</ol>","","<ol>
<li>Arrived mail with text ""To complete your create account process please click this link: &lt;link&gt;"" </li>
</ol>","","<ol>
<li>Check the mail_1</li>
</ol>","",""
"","","","","","","","","","","
Step Description:
<ol>
<li>Click on link from mail_1</li>
</ol>
Expected Result:
<ol>
<li><p>Verification page opens</p>

<p><span class=""""markdown-img-container""""><img src='index.php?/attachments/get/c3556514-1494-46b7-bd58-08c21f3dff17' class='fr-fic fr-dib fr-fil markdown-img' width='300' id='attachment-c3556514-1494-46b7-bd58-08c21f3dff17' data-attachment-id='c3556514-1494-46b7-bd58-08c21f3dff17' data-entity-id='410419' /></span> </p></li>
</ol>","","<ol>
<li><p>Verification page opens</p>

<p><span class=""markdown-img-container""><img src='index.php?/attachments/get/c3556514-1494-46b7-bd58-08c21f3dff17' class='fr-fic fr-dib fr-fil markdown-img' width='300' id='attachment-c3556514-1494-46b7-bd58-08c21f3dff17' data-attachment-id='c3556514-1494-46b7-bd58-08c21f3dff17' data-entity-id='410419' /></span> </p></li>
</ol>","","<ol>
<li>Click on link from mail_1</li>
</ol>","",""
"","","","","","","","","","","
Step Description:
<ol>
<li>Try to log in by using email</li>
</ol>
Expected Result:
<ol>
<li>User logged in store</li>
</ol>","","<ol>
<li>User logged in store</li>
</ol>","","<ol>
<li>Try to log in by using email</li>
</ol>","",""
"","","","","","","","","","","
Step Description:
<ol>
<li>Go to Admin Environment &gt; Contacts</li>
<li>Check the Contact_1</li>
</ol>
Expected Result:
<ol>
<li>Organization_1 created</li>
<li>Contact_1 belonging Organization_1 created</li>
</ol>","","<ol>
<li>Organization_1 created</li>
<li>Contact_1 belonging Organization_1 created</li>
</ol>","","<ol>
<li>Go to Admin Environment &gt; Contacts</li>
<li>Check the Contact_1</li>
</ol>","",""
"","","","","","","","","","","
Step Description:
<ol>
<li>Go to Admin Environment &gt; Security &gt; Users</li>
<li>Check the User_1</li>
<li>Check account type</li>
</ol>
Expected Result:
<ol>
<li>User_1 created</li>
<li>Account type is <strong>Customer</strong></li>
</ol>","","<ol>
<li>User_1 created</li>
<li>Account type is <strong>Customer</strong></li>
</ol>","","<ol>
<li>Go to Admin Environment &gt; Security &gt; Users</li>
<li>Check the User_1</li>
<li>Check account type</li>
</ol>","",""
"C410420","Registration form > Password visibility","","","Medium","Registration  (Desktop+Mobile)","0","","Registration  (Desktop+Mobile)","","Step Description:
1. Open Personal registration form
2. Fill __Password__ + __Confirm password__ fields
3. Pay attention on the filling passwords symbols and Eye icons states
Expected Result:
1. Password symbols invisible
2. Eye icons is not crossed out ","","1. Password symbols invisible
2. Eye icons is not crossed out ","","1. Open Personal registration form
2. Fill __Password__ + __Confirm password__ fields
3. Pay attention on the filling passwords symbols and Eye icons states","Other","0"
"","","","","","","","","","","
Step Description:
1. Click on the each Eye icon
2. Pay attention to the Password symbols and Eye icon state   
Expected Result:
1. Password symbols are visible
2. Eye icons is crossed out ","","1. Password symbols are visible
2. Eye icons is crossed out ","","1. Click on the each Eye icon
2. Pay attention to the Password symbols and Eye icon state   ","",""
"","","","","","","","","","","
Step Description:
1. Click on the each Eye icon one more time
2. Pay attention to the Password symbols and Eye icon state   
Expected Result:
1. Password symbols invisible
2. Eye icons is not crossed out ","","1. Password symbols invisible
2. Eye icons is not crossed out ","","1. Click on the each Eye icon one more time
2. Pay attention to the Password symbols and Eye icon state   ","",""
"","","","","","","","","","","
Step Description:
1. Insert hide symbols in the password field by CTRL + A or other way
2. Copy that by CTRL + C or other way
3. Paste it in the any field
Expected Result:
1. Invisible password symbols not copied","","1. Invisible password symbols not copied","","1. Insert hide symbols in the password field by CTRL + A or other way
2. Copy that by CTRL + C or other way
3. Paste it in the any field","",""
"","","","","","","","","","","
Step Description:
1. Make password symbols visible (Click on the Eye icon)
2. Insert this symbols by CTRL + A or other way
3. Paste it in the any field
Expected Result:
1. Visible password symbols copied successful","","1. Visible password symbols copied successful","","1. Make password symbols visible (Click on the Eye icon)
2. Insert this symbols by CTRL + A or other way
3. Paste it in the any field","",""
"","","","","","","","","","","
Step Description:
1. Open Organization registration form 
2. Repeat steps 1-5 
Expected Result:
1. Expected results similar","","1. Expected results similar","","1. Open Organization registration form 
2. Repeat steps 1-5 ","",""
"C410401","Validation > PERSONAL > required fields","","","Medium","Validation","1","","Registration  (Desktop+Mobile) > Validation","","Step Description:
1. Enter the necessary information, except __First name__
2. Click away from the First name field.


Expected Result:
1. Shows error message about required field First name.    ","","1. Shows error message about required field First name.    ","","1. Enter the necessary information, except __First name__
2. Click away from the First name field.

","Automated","0"
"","","","","","","","","","","
Step Description:
1. Enter necessary information, except __Last name__
2. Click away from the Last name field.
 
Expected Result:
1. Error message shows about required field Last name.      ","","1. Error message shows about required field Last name.      ","","1. Enter necessary information, except __Last name__
2. Click away from the Last name field.
 ","",""
"","","","","","","","","","","
Step Description:
1. Enter necessary information, except __Email__
2. Click away from the Email field.
 
Expected Result:
1. Error message shows about required field Email.        ","","1. Error message shows about required field Email.        ","","1. Enter necessary information, except __Email__
2. Click away from the Email field.
 ","",""
"","","","","","","","","","","
Step Description:
1. Enter the necessary information, except __Password__
2. Click away from the Password field.
Expected Result:
1. Error message shows about required field Password.   ","","1. Error message shows about required field Password.   ","","1. Enter the necessary information, except __Password__
2. Click away from the Password field.","",""
"C410402","Validation > PERSONAL > max chars","","","Medium","Validation","1","","Registration  (Desktop+Mobile) > Validation","","Step Description:
1. Fill in the field __First name__ with more than 64 chars



Expected Result:
1. Error message shows that field can't be more than 64 chars","","1. Error message shows that field can't be more than 64 chars","","1. Fill in the field __First name__ with more than 64 chars


","Functional","0"
"","","","","","","","","","","
Step Description:
1. Fill in the field  __Last name__ with more than 64 chars

Expected Result:
1. Error message shows that field can't be more than 64 chars  ","","1. Error message shows that field can't be more than 64 chars  ","","1. Fill in the field  __Last name__ with more than 64 chars
","",""
"","","","","","","","","","","
Step Description:
1. Fill in the field  __Email__ with more than 64 chars

Expected Result:
1. Error message shows that field can't be more than 64 chars     ","","1. Error message shows that field can't be more than 64 chars     ","","1. Fill in the field  __Email__ with more than 64 chars
","",""
"C410403","Validation > ORGANIZATION > required fields","","","Medium","Validation","1","","Registration  (Desktop+Mobile) > Validation","","Step Description:
1. Enter the necessary information, except __First name__
2. Click away from the __First name__ field.


Expected Result:
1. Error message shows about required First name  field.    ","","1. Error message shows about required First name  field.    ","","1. Enter the necessary information, except __First name__
2. Click away from the __First name__ field.

","Automated","0"
"","","","","","","","","","","
Step Description:
1. Enter necessary information, except __Last name__
2. Click away from the Last name field.
 
Expected Result:
1. Error message shows about required Last name  field.      ","","1. Error message shows about required Last name  field.      ","","1. Enter necessary information, except __Last name__
2. Click away from the Last name field.
 ","",""
"","","","","","","","","","","
Step Description:
1. Enter necessary information, except __Email__
2. Click away from the Email field.
 
Expected Result:
1. Error message shows about required field Email.        ","","1. Error message shows about required field Email.        ","","1. Enter necessary information, except __Email__
2. Click away from the Email field.
 ","",""
"","","","","","","","","","","
Step Description:
1. Enter the necessary information, except __Organization name__
2. Click away from the Organization name field.
Expected Result:
1. Error message shows about required Organization name field ","","1. Error message shows about required Organization name field ","","1. Enter the necessary information, except __Organization name__
2. Click away from the Organization name field.","",""
"","","","","","","","","","","
Step Description:
1. Enter the necessary information, except __Password__
2. Click away from the Password field.
Expected Result:
1. Error message shows about required Password  field.   ","","1. Error message shows about required Password  field.   ","","1. Enter the necessary information, except __Password__
2. Click away from the Password field.","",""
"C410404","Validation > ORGANIZATION > max chars","","","Medium","Validation","1","","Registration  (Desktop+Mobile) > Validation","","Step Description:
1. Fill in the field  __First name__ with more than 64 chars



Expected Result:
1. Error message shows that field can't be more than 64 chars","","1. Error message shows that field can't be more than 64 chars","","1. Fill in the field  __First name__ with more than 64 chars


","Functional","0"
"","","","","","","","","","","
Step Description:
1. Fill in the field  __Last name__ with more than 64 chars

Expected Result:
1. Error message shows that field can't be more than 64 chars  ","","1. Error message shows that field can't be more than 64 chars  ","","1. Fill in the field  __Last name__ with more than 64 chars
","",""
"","","","","","","","","","","
Step Description:
1. Fill in the field  __ Email__ with more than 64 chars

Expected Result:
1. Error message shows that field can't be more than 64 chars     ","","1. Error message shows that field can't be more than 64 chars     ","","1. Fill in the field  __ Email__ with more than 64 chars
","",""
"","","","","","","","","","","
Step Description:
Fill in the field  __Organization name__ with more than 64 chars
Expected Result:
1. Error message shows that field can't be more than 64 chars","","1. Error message shows that field can't be more than 64 chars","","Fill in the field  __Organization name__ with more than 64 chars","",""
"C410405","Validation > unique email and username","","","Medium","Validation","1","","Registration  (Desktop+Mobile) > Validation","","Step Description:
1. Enter necessary Personal information:
- Email address: exists in the system


Expected Result:
1. Shows error message about not unique email. Appears after filling the field.

","","1. Shows error message about not unique email. Appears after filling the field.

","","1. Enter necessary Personal information:
- Email address: exists in the system

","Automated","0"
"C410406","Validation > email","","","Medium","Validation","1","","Registration  (Desktop+Mobile) > Validation","","Step Description:
1. Enter necessary information:

-- First name
-- Last name
-- Email address: enter wrong data (for example without """"@"""")
-- Username
-- Password 
2. Click button Next step  
 
Expected Result:
1. Error message shows about incorrect email.","","1. Error message shows about incorrect email.","","1. Enter necessary information:

-- First name
-- Last name
-- Email address: enter wrong data (for example without ""@"")
-- Username
-- Password 
2. Click button Next step  
 ","Automated","0"
"C410407","Validation > password  match","","","Medium","Validation","1","","Registration  (Desktop+Mobile) > Validation","","Step Description:
1. Enter necessary information:

- First name
- Last name
- Email address 
- Username
- Password: fill in 2 different passwords
2. Click button Next step  
 
Expected Result:
1. Error message shows about passwords not match each other.","","1. Error message shows about passwords not match each other.","","1. Enter necessary information:

- First name
- Last name
- Email address 
- Username
- Password: fill in 2 different passwords
2. Click button Next step  
 ","Automated","0"
"C410408","Validation > password policy","","","Medium","Validation","1","","Registration  (Desktop+Mobile) > Validation","","Step Description:
1. Enter necessary Personal information:
- First name
- Last name
- Email address 
- Username
- Password (for example, Qwert1!) 

2. Click button Next step  
 
Expected Result:
1. Error message shows about Password must be at least 8 characters.","","1. Error message shows about Password must be at least 8 characters.","","1. Enter necessary Personal information:
- First name
- Last name
- Email address 
- Username
- Password (for example, Qwert1!) 

2. Click button Next step  
 ","Automated","0"
"","","","","","","","","","","
Step Description:
1. Enter necessary Personal information:

- First name
- Last name
- Email address
- Username
- Password (for example, qwerty1!)
2. Click button Next step
Expected Result:
1. Error message shows about Passwords must have at least one uppercase ('A'-'Z')","","1. Error message shows about Passwords must have at least one uppercase ('A'-'Z')","","1. Enter necessary Personal information:

- First name
- Last name
- Email address
- Username
- Password (for example, qwerty1!)
2. Click button Next step","",""
"","","","","","","","","","","
Step Description:
1. Enter necessary Personal information:

- First name
- Last name
- Email address
- Username
- Password (for example, QWERTY1!)
2. Click button Next step
Expected Result:
1. Error message shows about Passwords must have at least one lowercase ('a'-'z')","","1. Error message shows about Passwords must have at least one lowercase ('a'-'z')","","1. Enter necessary Personal information:

- First name
- Last name
- Email address
- Username
- Password (for example, QWERTY1!)
2. Click button Next step","",""
"","","","","","","","","","","
Step Description:
1. Enter necessary Personal information:

- First name
- Last name
- Email address
- Username
- Password (for example, Qwertyu!)
2. Click button Next step
Expected Result:
1. Error message shows about Passwords must have at least one digit ('0'-'9')","","1. Error message shows about Passwords must have at least one digit ('0'-'9')","","1. Enter necessary Personal information:

- First name
- Last name
- Email address
- Username
- Password (for example, Qwertyu!)
2. Click button Next step","",""
"","","","","","","","","","","
Step Description:
1. Enter necessary Personal information:

- First name
- Last name
- Email address
- Username
- Password (for example, Qwerty12)
2. Click button Next step
Expected Result:
1. Error message shows about Passwords must have at least one non-alphanumeric character","","1. Error message shows about Passwords must have at least one non-alphanumeric character","","1. Enter necessary Personal information:

- First name
- Last name
- Email address
- Username
- Password (for example, Qwerty12)
2. Click button Next step","",""
"","","","","","","","","","","
Step Description:
1. Enter necessary Personal information:

- First name
- Last name
- Email address
- Username
- Password (for example, 11111!!!)
2. Click button Next step
Expected Result:
1. Error message shows about:
- Passwords must have at least one lowercase ('a'-'z') 
- Passwords must have at least one uppercase ('A'-'Z') 
- Passwords must have at least 3 unique characters ","","1. Error message shows about:
- Passwords must have at least one lowercase ('a'-'z') 
- Passwords must have at least one uppercase ('A'-'Z') 
- Passwords must have at least 3 unique characters ","","1. Enter necessary Personal information:

- First name
- Last name
- Email address
- Username
- Password (for example, 11111!!!)
2. Click button Next step","",""
"","","","","","","","","","","
Step Description:
1. Enter necessary Personal information:

- First name
- Last name
- Email address
- Username
- Password (for example, 1)
2. Click button Next step
Expected Result:
1. Error message shows about:
- Password must be at least 8 characters 
- Passwords must have at least one non-alphanumeric character 
- Passwords must have at least one lowercase ('a'-'z')
- Passwords must have at least one uppercase ('A'-'Z')
- Passwords must have at least 3 unique characters","","1. Error message shows about:
- Password must be at least 8 characters 
- Passwords must have at least one non-alphanumeric character 
- Passwords must have at least one lowercase ('a'-'z')
- Passwords must have at least one uppercase ('A'-'Z')
- Passwords must have at least 3 unique characters","","1. Enter necessary Personal information:

- First name
- Last name
- Email address
- Username
- Password (for example, 1)
2. Click button Next step","",""
"C410409","Validation > error messages > localization","","","Medium","Validation","1","","Registration  (Desktop+Mobile) > Validation","","Step Description:
1. Choose localization EN or DE
2. Open registration form
3. Fill in the First name 
4. Clean First name 
5. Click away from the First name field
6. Pay attention on the error message
Expected Result:
1. Error message is notified user in the language which was selected

","","1. Error message is notified user in the language which was selected

","","1. Choose localization EN or DE
2. Open registration form
3. Fill in the First name 
4. Clean First name 
5. Click away from the First name field
6. Pay attention on the error message","Functional","0"
"","","","","","","","","","","
Step Description:
1. Fill the Username field (Username exist in the system)
2. Pay attention on the error message

Expected Result:
1. Error message is notified user in the language which was selected","","1. Error message is notified user in the language which was selected","","1. Fill the Username field (Username exist in the system)
2. Pay attention on the error message
","",""
"","","","","","","","","","","
Step Description:
1. Enter First name with more than 64 chars
2. Fill in the other necessary information
3. Pay attention on the error message

Expected Result:
1. Error message is notified user in the language which was selected","","1. Error message is notified user in the language which was selected","","1. Enter First name with more than 64 chars
2. Fill in the other necessary information
3. Pay attention on the error message
","",""
"C410410","Registration without Email Verification","https://virtowayqa.testrail.io/index.php?/attachments/get/1000002471","","Medium","Email verification","1","","Registration  (Desktop+Mobile) > Email verification","","Step Description:
Go to the Sign-up page
Fill in all required fields
Click on the Sign-up button


Expected Result:
The /successful-registration page opened
The title: Registration completed

Text: Thank you for showing your interest in registering with us. We kindly ask you to check your mailbox to verify the email address you’ve entered.



The home page button is displayed


  
","","The /successful-registration page opened
The title: Registration completed

Text: Thank you for showing your interest in registering with us. We kindly ask you to check your mailbox to verify the email address you’ve entered.



The home page button is displayed


  
","","Go to the Sign-up page
Fill in all required fields
Click on the Sign-up button

","Other","0"
"","","","","","","","","","","
Step Description:
Click on the Home page
Expected Result:
The home page is opened","","The home page is opened","","Click on the Home page","",""
"","","","","","","","","","","
Step Description:
Go to sign in page
Enter your Email and password
Sign in
Expected Result:
User successfully registered","","User successfully registered","","Go to sign in page
Enter your Email and password
Sign in","",""
"","","","","","","","","","","
Step Description:
Check the email confirmation in the email
Expected Result:
There is no letter for confirmation","","There is no letter for confirmation","","Check the email confirmation in the email","",""
"","","","","","","","","","","
Step Description:
Check Registered letter
Expected Result:
The letter with the subject Registered is received","","The letter with the subject Registered is received","","Check Registered letter","",""
"C410411","Registration with Optional Email Verification","","","Medium","Email verification","1","","Registration  (Desktop+Mobile) > Email verification","","Step Description:
Go to the Sign-up page
Fill in all required fields
Click on the Sign-up button
Expected Result:
The /successful-registration page opened
The title: Registration completed

The home page button is displayed","","The /successful-registration page opened
The title: Registration completed

The home page button is displayed","","Go to the Sign-up page
Fill in all required fields
Click on the Sign-up button","Other","0"
"","","","","","","","","","","
Step Description:
Click on the Home page
Expected Result:
The home page is opened","","The home page is opened","","Click on the Home page","",""
"","","","","","","","","","","
Step Description:
Go to sign in page
Enter your Email and password
Sign in
Expected Result:
User successfully registered","","User successfully registered","","Go to sign in page
Enter your Email and password
Sign in","",""
"","","","","","","","","","","
Step Description:
Check Registered letter
Expected Result:
The letter with the subject Registered is received","","The letter with the subject Registered is received","","Check Registered letter","",""
"","","","","","","","","","","
Step Description:
Check the email confirmation in the email
Expected Result:
The letter for the email confirmation is received","","The letter for the email confirmation is received","","Check the email confirmation in the email","",""
"","","","","","","","","","","
Step Description:
Click on the link
Expected Result:
The successful email confirmation page is opened with sign in button","","The successful email confirmation page is opened with sign in button","","Click on the link","",""
"C410412","Registration with Mandatory Email Verification","https://virtowayqa.testrail.io/index.php?/attachments/get/1000002219","","Medium","Email verification","1","","Registration  (Desktop+Mobile) > Email verification","","Step Description:
Go to the Sign-up page
Fill in all required fields
Click on the Sign-up button
Expected Result:
The /successful-registration page opened
The title: Registration completed

The home page button is displayed","","The /successful-registration page opened
The title: Registration completed

The home page button is displayed","","Go to the Sign-up page
Fill in all required fields
Click on the Sign-up button","Automated","0"
"","","","","","","","","","","
Step Description:
Click on the Home page
Expected Result:
The home page is opened","","The home page is opened","","Click on the Home page","",""
"","","","","","","","","","","
Step Description:
Go to sign in page
Enter your Email and password
Sign in
Expected Result:
The user cannot enter the site until he confirms the mail

The error message:

Email verification required. Please verify your email address



","","The user cannot enter the site until he confirms the mail

The error message:

Email verification required. Please verify your email address



","","Go to sign in page
Enter your Email and password
Sign in","",""
"","","","","","","","","","","
Step Description:
Check the email confirmation in the email
Expected Result:
The letter for the email confirmation is received","","The letter for the email confirmation is received","","Check the email confirmation in the email","",""
"","","","","","","","","","","
Step Description:
Click on the link
Expected Result:
The successful email confirmation page is opened with sign in button","","The successful email confirmation page is opened with sign in button","","Click on the link","",""
"","","","","","","","","","","
Step Description:
Go to sign in page
Enter your Email and password
Sign in
Expected Result:
User successfully registered","","User successfully registered","","Go to sign in page
Enter your Email and password
Sign in","",""
"","","","","","","","","","","
Step Description:
Check Registered letter
Expected Result:
The letter with the subject Registered is received","","The letter with the subject Registered is received","","Check Registered letter","",""
