"ID","Title","Attachments","Expected Result","Priority","Section","Section Depth","Section Description","Section Hierarchy","Steps","Steps","Steps (Additional Info)","Steps (Expected Result)","Steps (References)","Steps (Step)","Type","is_converted"
"C410457","MOBILE > Orders > Filters > General view","","","Medium","Orders (Desktop+Mobile)","0","","Orders (Desktop+Mobile)","","Step Description:
1. Open My account page &gt;  Orders tab
2. Tap on the button """"Filters""""
Expected Result:
1. Appears side filters menu contain the next elements:
-- 'Filters' title + Close button (X)
-- 'Status' block with Arrow (up) button contain the next checkboxes:
== 'New'
== 'Processing'
== 'Pending'
== 'Cancelled'
== 'Completed'

-- 'Created date' block contain the next fields:
== 'Start date' contain the date format (mm/dd/yyy) and calendar icon
== 'End date' contain the date format (mm/dd/yyy) and calendar icon 

-- 'Reset' button (inactive)
-- 'Apply' button (inactive) ","","1. Appears side filters menu contain the next elements:
-- 'Filters' title + Close button (X)
-- 'Status' block with Arrow (up) button contain the next checkboxes:
== 'New'
== 'Processing'
== 'Pending'
== 'Cancelled'
== 'Completed'

-- 'Created date' block contain the next fields:
== 'Start date' contain the date format (mm/dd/yyy) and calendar icon
== 'End date' contain the date format (mm/dd/yyy) and calendar icon 

-- 'Reset' button (inactive)
-- 'Apply' button (inactive) ","","1. Open My account page &gt;  Orders tab
2. Tap on the button ""Filters""","Other","0"
"","","","","","","","","","","
Step Description:
1. Tap on the Close button (X)
Expected Result:
1. Filters side menu closes without any changes","","1. Filters side menu closes without any changes","","1. Tap on the Close button (X)","",""
"","","","","","","","","","","
Step Description:
1. Open side filters menu
2. Tap on the Arrow button of the 'Status' block 
Expected Result:
1. The 'Status' block collapse to the 'Status' title
2. Arrow button change state to down","","1. The 'Status' block collapse to the 'Status' title
2. Arrow button change state to down","","1. Open side filters menu
2. Tap on the Arrow button of the 'Status' block ","",""
"","","","","","","","","","","
Step Description:
1. Tap on the Arrow button of the 'Status' block one more time
Expected Result:
1. The 'Status' block expands
2. Arrow button change state to up","","1. The 'Status' block expands
2. Arrow button change state to up","","1. Tap on the Arrow button of the 'Status' block one more time","",""
"","","","","","","","","","","
Step Description:
 2. Tap on the free space outside of side filters menu 
Expected Result:
1. Filters side menu closes without any changes","","1. Filters side menu closes without any changes",""," 2. Tap on the free space outside of side filters menu ","",""
"C410458","MOBILE > Orders > List of statuses","","","Medium","Orders (Desktop+Mobile)","0","","Orders (Desktop+Mobile)","","","","","","","Other","0"
"C410459","Orders > filters > general view","","","Medium","Filter","1","","Orders (Desktop+Mobile) > Filter","","Step Description:
<ol>
<li>Open My account page &gt;  Orders tab</li>
<li>Click the button """"Filters""""</li>
</ol>
Expected Result:
<ol>
<li>The drop-n-down Filters menu opens</li>
</ol>","","<ol>
<li>The drop-n-down Filters menu opens</li>
</ol>","","<ol>
<li>Open My account page &gt;  Orders tab</li>
<li>Click the button ""Filters""</li>
</ol>","Other","1"
"","","","","","","","","","","
Step Description:
<ol>
<li>Check the Filters menu</li>
</ol>
Expected Result:
<ol>
<li>2 filters block are presented:</li>
</ol>

<ul>
<li>Status filter block with check-boxes</li>
<li>Created date Custom data block with Start date, End date </li>
</ul>

<ol>
<li>Buttons: Reset, Apply </li>
<li>Close Icon</li>
</ol>","","<ol>
<li>2 filters block are presented:</li>
</ol>

<ul>
<li>Status filter block with check-boxes</li>
<li>Created date Custom data block with Start date, End date </li>
</ul>

<ol>
<li>Buttons: Reset, Apply </li>
<li>Close Icon</li>
</ol>","","<ol>
<li>Check the Filters menu</li>
</ol>","",""
"","","","","","","","","","","
Step Description:
<ol>
<li>Click the Close icon </li>
</ol>
Expected Result:
<ol>
<li>Drop-down filter menu closed.</li>
</ol>","","<ol>
<li>Drop-down filter menu closed.</li>
</ol>","","<ol>
<li>Click the Close icon </li>
</ol>","",""
"","","","","","","","","","","
Step Description:
<ol>
<li>Open Filters menu </li>
<li>Select any filters</li>
<li>Click button Reset</li>
</ol>
Expected Result:
<ol>
<li>Drop-down filter menu closed</li>
<li>No filters have been applied</li>
</ol>","","<ol>
<li>Drop-down filter menu closed</li>
<li>No filters have been applied</li>
</ol>","","<ol>
<li>Open Filters menu </li>
<li>Select any filters</li>
<li>Click button Reset</li>
</ol>","",""
"","","","","","","","","","","
Step Description:
<ol>
<li>Open Filters menu </li>
<li>Select any filters</li>
<li>Click button Apply</li>
<li>Сheck the Enabled Filters block above the Orders list</li>
</ol>
Expected Result:
<ol>
<li>Next elements are presented:</li>
</ol>

<ul>
<li>The applied Filter block</li>
<li>The Reset filter block</li>
</ul>","","<ol>
<li>Next elements are presented:</li>
</ol>

<ul>
<li>The applied Filter block</li>
<li>The Reset filter block</li>
</ul>","","<ol>
<li>Open Filters menu </li>
<li>Select any filters</li>
<li>Click button Apply</li>
<li>Сheck the Enabled Filters block above the Orders list</li>
</ol>","",""
"","","","","","","","","","","
Step Description:
<ol>
<li>Check the Filter block</li>
</ol>
Expected Result:
<ol>
<li>Next elements presented: </li>
</ol>

<ul>
<li>title of the Filter; </li>
<li>Close icon</li>
</ul>","","<ol>
<li>Next elements presented: </li>
</ol>

<ul>
<li>title of the Filter; </li>
<li>Close icon</li>
</ul>","","<ol>
<li>Check the Filter block</li>
</ol>","",""
"","","","","","","","","","","
Step Description:
<ol>
<li>Click Icon close for any filter block</li>
</ol>
Expected Result:
<ol>
<li>Filter block removed</li>
</ol>","","<ol>
<li>Filter block removed</li>
</ol>","","<ol>
<li>Click Icon close for any filter block</li>
</ol>","",""
"C410460","Orders > filters > Status filter","","","Medium","Filter","1","","Orders (Desktop+Mobile) > Filter","","Step Description:
<ol>
<li>Open Filters menu </li>
<li>Select any Status filter (eg New, Processing, Pending, Cancelled, Completed, Payment required)</li>
<li>Click the button Apply</li>
<li>Check the page</li>
</ol>
Expected Result:
<ol>
<li>The applied filter is represented above the list</li>
<li>Only orders with the Status """"New"""" are displayed in the Orders list</li>
</ol>","","<ol>
<li>The applied filter is represented above the list</li>
<li>Only orders with the Status ""New"" are displayed in the Orders list</li>
</ol>","","<ol>
<li>Open Filters menu </li>
<li>Select any Status filter (eg New, Processing, Pending, Cancelled, Completed, Payment required)</li>
<li>Click the button Apply</li>
<li>Check the page</li>
</ol>","Other","1"
"","","","","","","","","","","
Step Description:
<ol>
<li>Open filters menu</li>
<li>Pay attention to filled check box and 'Apply' button</li>
</ol>
Expected Result:
<ol>
<li>Checkbox of the chosen filter are filled</li>
<li><p>The 'Apply' button is inactive<br /> </p></li>
</ol>","","<ol>
<li>Checkbox of the chosen filter are filled</li>
<li><p>The 'Apply' button is inactive<br /> </p></li>
</ol>","","<ol>
<li>Open filters menu</li>
<li>Pay attention to filled check box and 'Apply' button</li>
</ol>","",""
"","","","","","","","","","","
Step Description:
<ol>
<li>Open filters menu </li>
<li>Select few more Status Filters</li>
<li>Click on the 'Apply' button </li>
</ol>
Expected Result:
<ol>
<li>Possible select several filters</li>
<li>The 'Apply' button activates after adding new filter </li>
<li>The applied filters is represented above the list</li>
<li>Only those Orders are shown that match the selected filters.</li>
</ol>","","<ol>
<li>Possible select several filters</li>
<li>The 'Apply' button activates after adding new filter </li>
<li>The applied filters is represented above the list</li>
<li>Only those Orders are shown that match the selected filters.</li>
</ol>","","<ol>
<li>Open filters menu </li>
<li>Select few more Status Filters</li>
<li>Click on the 'Apply' button </li>
</ol>","",""
"","","","","","","","","","","
Step Description:
<ol>
<li>Open filters menu </li>
<li>Select Payment required status</li>
<li>Click on the 'Apply' button </li>
</ol>
Expected Result:
<ol>
<li>Possible select Payment required status</li>
<li>The 'Apply' button activates after adding a new filter </li>
<li>The applied filters are represented above the list</li>
<li>Only those Orders are shown that match the selected filters.</li>
</ol>","","<ol>
<li>Possible select Payment required status</li>
<li>The 'Apply' button activates after adding a new filter </li>
<li>The applied filters are represented above the list</li>
<li>Only those Orders are shown that match the selected filters.</li>
</ol>","","<ol>
<li>Open filters menu </li>
<li>Select Payment required status</li>
<li>Click on the 'Apply' button </li>
</ol>","",""
"C410461","Orders > filters > Created customer date filter","","","Medium","Filter","1","","Orders (Desktop+Mobile) > Filter","","Step Description:
<ol>
<li>Open Filters menu</li>
<li>Set up Start date </li>
<li>Click  button Apply</li>
</ol>
Expected Result:
<ol>
<li>The applied Date filter is represented above the list</li>
<li>Only orders from Start date filter are displayed in the Orders list</li>
</ol>","","<ol>
<li>The applied Date filter is represented above the list</li>
<li>Only orders from Start date filter are displayed in the Orders list</li>
</ol>","","<ol>
<li>Open Filters menu</li>
<li>Set up Start date </li>
<li>Click  button Apply</li>
</ol>","Other","1"
"","","","","","","","","","","
Step Description:
<ol>
<li>Open Filters menu</li>
<li>Set up Start date </li>
<li>Click  button Apply</li>
</ol>
Expected Result:
<ol>
<li>The applied Date filter is represented above the list</li>
<li>Only orders before the End date filter are displayed in the Orders list</li>
</ol>","","<ol>
<li>The applied Date filter is represented above the list</li>
<li>Only orders before the End date filter are displayed in the Orders list</li>
</ol>","","<ol>
<li>Open Filters menu</li>
<li>Set up Start date </li>
<li>Click  button Apply</li>
</ol>","",""
"","","","","","","","","","","
Step Description:
<ol>
<li>Open Filters menu</li>
<li>Set up Start date and End Date </li>
<li>Click  button Apply</li>
</ol>
Expected Result:
<ol>
<li>The applied Date filters is represented above the list</li>
<li>Only orders from Start date and before End date filter are displayed in the Orders list</li>
</ol>","","<ol>
<li>The applied Date filters is represented above the list</li>
<li>Only orders from Start date and before End date filter are displayed in the Orders list</li>
</ol>","","<ol>
<li>Open Filters menu</li>
<li>Set up Start date and End Date </li>
<li>Click  button Apply</li>
</ol>","",""
"C410462","Orders > filters > Predefined date filters","https://virtowayqa.testrail.io/index.php?/attachments/get/1000003887","","Medium","Filter","1","","Orders (Desktop+Mobile) > Filter","","Step Description:
<p>Go to Orders Tab<br />Click on Filters > Click on Custom date</p>
Expected Result:
<p>The drop-down menu is displayed:</p>

<ul>
<li>Last day</li>
<li>Last week</li>
<li>Last month</li>
<li>Last Year</li>
</ul>

<hr />","","<p>The drop-down menu is displayed:</p>

<ul>
<li>Last day</li>
<li>Last week</li>
<li>Last month</li>
<li>Last Year</li>
</ul>

<hr />","","<p>Go to Orders Tab<br />Click on Filters > Click on Custom date</p>","Other","1"
"","","","","","","","","","","
Step Description:
<p>Select Last day<br />Apply<br />Check Start date, End date in chips and Date in Orders</p>
Expected Result:
<p>The appropriate orders are shown<br />The count by status is correct<br />The date in chips is correct</p>

<hr />

<p><span class=""""markdown-img-container""""><img src='index.php?/attachments/get/dd33fa62-da7c-41a3-956b-3e7c20d1b984' class='fr-fic fr-dib fr-fil markdown-img' width='300' id='attachment-dd33fa62-da7c-41a3-956b-3e7c20d1b984' data-attachment-id='dd33fa62-da7c-41a3-956b-3e7c20d1b984' data-entity-id='410462' /></span></p>","","<p>The appropriate orders are shown<br />The count by status is correct<br />The date in chips is correct</p>

<hr />

<p><span class=""markdown-img-container""><img src='index.php?/attachments/get/dd33fa62-da7c-41a3-956b-3e7c20d1b984' class='fr-fic fr-dib fr-fil markdown-img' width='300' id='attachment-dd33fa62-da7c-41a3-956b-3e7c20d1b984' data-attachment-id='dd33fa62-da7c-41a3-956b-3e7c20d1b984' data-entity-id='410462' /></span></p>","","<p>Select Last day<br />Apply<br />Check Start date, End date in chips and Date in Orders</p>","",""
"","","","","","","","","","","
Step Description:
<p>Select Last week<br />Apply<br />Check Start date, End date in chips and Date in Orders</p>
Expected Result:
<p>The appropriate orders are shown<br />The count by status is correct<br />The date in chips is correct</p>","","<p>The appropriate orders are shown<br />The count by status is correct<br />The date in chips is correct</p>","","<p>Select Last week<br />Apply<br />Check Start date, End date in chips and Date in Orders</p>","",""
"","","","","","","","","","","
Step Description:
<p>Select Last month<br />Apply<br />Check Start date, End date in chips and Date in Orders</p>
Expected Result:
<p>The appropriate orders are shown<br />The count by status is correct<br />The date in chips is correct</p>","","<p>The appropriate orders are shown<br />The count by status is correct<br />The date in chips is correct</p>","","<p>Select Last month<br />Apply<br />Check Start date, End date in chips and Date in Orders</p>","",""
"","","","","","","","","","","
Step Description:
<p>Select Last year<br />Apply<br />Check Start date, End date in chips and Date in Orders</p>
Expected Result:
<p>The appropriate orders are shown<br />The count by status is correct<br />The date in chips is correct</p>","","<p>The appropriate orders are shown<br />The count by status is correct<br />The date in chips is correct</p>","","<p>Select Last year<br />Apply<br />Check Start date, End date in chips and Date in Orders</p>","",""
"C410463","Orders > filters > mix filters","","","Medium","Filter","1","","Orders (Desktop+Mobile) > Filter","","Step Description:
<ol>
<li>Open Filters menu</li>
<li>Set up Custom date</li>
<li>Select and Status filter (eg New)</li>
<li>Click  button Apply</li>
</ol>
Expected Result:
<ol>
<li>The applied filters is represented above the list</li>
<li>Only orders from Start date and Status New filter are displayed in the Orders list</li>
</ol>","","<ol>
<li>The applied filters is represented above the list</li>
<li>Only orders from Start date and Status New filter are displayed in the Orders list</li>
</ol>","","<ol>
<li>Open Filters menu</li>
<li>Set up Custom date</li>
<li>Select and Status filter (eg New)</li>
<li>Click  button Apply</li>
</ol>","Other","1"
"C410464","Orders > filters > mix filters > Status + Predefined date","","","Medium","Filter","1","","Orders (Desktop+Mobile) > Filter","","Step Description:
<ol>
<li>Open Filters menu</li>
<li>Set up Last day date</li>
<li>Select and Status filter (eg New)</li>
<li>Click  button Apply</li>
</ol>
Expected Result:
<ol>
<li>The applied filters are represented above the list</li>
<li>Only orders from Last day and Status New filter are displayed in the Orders list</li>
</ol>","","<ol>
<li>The applied filters are represented above the list</li>
<li>Only orders from Last day and Status New filter are displayed in the Orders list</li>
</ol>","","<ol>
<li>Open Filters menu</li>
<li>Set up Last day date</li>
<li>Select and Status filter (eg New)</li>
<li>Click  button Apply</li>
</ol>","Other","1"
"","","","","","","","","","","
Step Description:
<ol>
<li>Open Filters menu</li>
<li>Set up Last week date</li>
<li>Select and Status filter (eg Payment required)</li>
<li>Click  button Apply</li>
</ol>
Expected Result:
<ol>
<li>The applied filters are represented above the list</li>
<li>Only orders Last week and Status Payment required filter are displayed in the Orders list</li>
</ol>","","<ol>
<li>The applied filters are represented above the list</li>
<li>Only orders Last week and Status Payment required filter are displayed in the Orders list</li>
</ol>","","<ol>
<li>Open Filters menu</li>
<li>Set up Last week date</li>
<li>Select and Status filter (eg Payment required)</li>
<li>Click  button Apply</li>
</ol>","",""
"","","","","","","","","","","
Step Description:
<ol>
<li>Open Filters menu</li>
<li>Set up Last month date</li>
<li>Select and Status filter (eg Processing)</li>
<li>Click  button Apply</li>
</ol>
Expected Result:
<ol>
<li>The applied filters are represented above the list</li>
<li>Only orders Last month and Status Processing filter are displayed in the Orders list</li>
</ol>","","<ol>
<li>The applied filters are represented above the list</li>
<li>Only orders Last month and Status Processing filter are displayed in the Orders list</li>
</ol>","","<ol>
<li>Open Filters menu</li>
<li>Set up Last month date</li>
<li>Select and Status filter (eg Processing)</li>
<li>Click  button Apply</li>
</ol>","",""
"","","","","","","","","","","
Step Description:
<ol>
<li>Open Filters menu</li>
<li>Set up Last year date</li>
<li>Select and Status filter (eg Completed)</li>
<li>Click  button Apply</li>
</ol>
Expected Result:
<ol>
<li>The applied filters are represented above the list</li>
<li>Only orders Last year and Status Completed filter are displayed in the Orders list</li>
</ol>","","<ol>
<li>The applied filters are represented above the list</li>
<li>Only orders Last year and Status Completed filter are displayed in the Orders list</li>
</ol>","","<ol>
<li>Open Filters menu</li>
<li>Set up Last year date</li>
<li>Select and Status filter (eg Completed)</li>
<li>Click  button Apply</li>
</ol>","",""
"C410465","Orders > filters > Reset filters","","","Medium","Filter","1","","Orders (Desktop+Mobile) > Filter","","Step Description:
<ol>
<li>Open Filter menu</li>
<li>Select several filters (e.g. Filter_1-Filter_3)</li>
<li>Click the button Apply</li>
</ol>
Expected Result:
<ol>
<li>The applied filter is represented above the Orders list</li>
<li>Orders was filtered according to the selected filters</li>
</ol>","","<ol>
<li>The applied filter is represented above the Orders list</li>
<li>Orders was filtered according to the selected filters</li>
</ol>","","<ol>
<li>Open Filter menu</li>
<li>Select several filters (e.g. Filter_1-Filter_3)</li>
<li>Click the button Apply</li>
</ol>","Other","1"
"","","","","","","","","","","
Step Description:
<ol>
<li>Сlick Close icon on Filter_1 block</li>
</ol>
Expected Result:
<ol>
<li>Filter_2, Filter_3 blocks are presented above the  Orders list</li>
<li>Orders  was filtered according to the Filter_2 and Filter_3</li>
</ol>","","<ol>
<li>Filter_2, Filter_3 blocks are presented above the  Orders list</li>
<li>Orders  was filtered according to the Filter_2 and Filter_3</li>
</ol>","","<ol>
<li>Сlick Close icon on Filter_1 block</li>
</ol>","",""
"","","","","","","","","","","
Step Description:
<ol>
<li>Сlick Button """"Reset filters""""</li>
</ol>
Expected Result:
<ol>
<li>All applied filters removed</li>
<li>No filters represented above the Orders List</li>
</ol>","","<ol>
<li>All applied filters removed</li>
<li>No filters represented above the Orders List</li>
</ol>","","<ol>
<li>Сlick Button ""Reset filters""</li>
</ol>","",""
"","","","","","","","","","","
Step Description:
<ol>
<li><p>Open the filters block<br />2. Select several filters (e.g. Filter_1-Filter_3)</p></li>
<li>Click the button Apply</li>
<li>Open the filters block again</li>
<li>Add more filters (e.g. Filter_4 + Filter_5)</li>
<li>Click on the 'Reset' button of the filters block </li>
</ol>
Expected Result:
<ol>
<li>Filters block closes</li>
<li>Presents the list of all exists orders (All filters are reset)</li>
</ol>","","<ol>
<li>Filters block closes</li>
<li>Presents the list of all exists orders (All filters are reset)</li>
</ol>","","<ol>
<li><p>Open the filters block<br />2. Select several filters (e.g. Filter_1-Filter_3)</p></li>
<li>Click the button Apply</li>
<li>Open the filters block again</li>
<li>Add more filters (e.g. Filter_4 + Filter_5)</li>
<li>Click on the 'Reset' button of the filters block </li>
</ol>","",""
"C410466","Orders > Close chips > filters are reset","https://virtowayqa.testrail.io/index.php?/attachments/get/1000000777, https://virtowayqa.testrail.io/index.php?/attachments/get/1000003133","","Medium","Filter","1","","Orders (Desktop+Mobile) > Filter","","Step Description:
<ol>
<li>Click on Filter</li>
<li>Set start date/End Date</li>
<li>Select status</li>
<li>Apply</li>
<li>Remove chip Start Date</li>
<li>Check data in pop-up</li>
</ol>
Expected Result:
<p>The Start date is reset in pop-up</p>

<hr />

<p><span class=""""markdown-img-container""""><img src='index.php?/attachments/get/ae55cca3-3167-4fb6-b9fa-d84429e8b9cf' class='fr-fic fr-dib fr-fil markdown-img' width='300' id='attachment-ae55cca3-3167-4fb6-b9fa-d84429e8b9cf' data-attachment-id='ae55cca3-3167-4fb6-b9fa-d84429e8b9cf' data-entity-id='410466' /></span> </p>","","<p>The Start date is reset in pop-up</p>

<hr />

<p><span class=""markdown-img-container""><img src='index.php?/attachments/get/ae55cca3-3167-4fb6-b9fa-d84429e8b9cf' class='fr-fic fr-dib fr-fil markdown-img' width='300' id='attachment-ae55cca3-3167-4fb6-b9fa-d84429e8b9cf' data-attachment-id='ae55cca3-3167-4fb6-b9fa-d84429e8b9cf' data-entity-id='410466' /></span> </p>","","<ol>
<li>Click on Filter</li>
<li>Set start date/End Date</li>
<li>Select status</li>
<li>Apply</li>
<li>Remove chip Start Date</li>
<li>Check data in pop-up</li>
</ol>","Other","1"
"","","","","","","","","","","
Step Description:
<ol>
<li>Remove chip End Date</li>
<li>Check data in pop-up</li>
<li>Select another status</li>
</ol>
Expected Result:
<p>The End date is reset in pop-up</p>

<hr />

<p><span class=""""markdown-img-container""""><img src='index.php?/attachments/get/2975c777-37b3-4423-8f6e-b91e4a644263' class='fr-fic fr-dib fr-fil markdown-img' width='300' id='attachment-2975c777-37b3-4423-8f6e-b91e4a644263' data-attachment-id='2975c777-37b3-4423-8f6e-b91e4a644263' data-entity-id='410466' /></span> </p>","","<p>The End date is reset in pop-up</p>

<hr />

<p><span class=""markdown-img-container""><img src='index.php?/attachments/get/2975c777-37b3-4423-8f6e-b91e4a644263' class='fr-fic fr-dib fr-fil markdown-img' width='300' id='attachment-2975c777-37b3-4423-8f6e-b91e4a644263' data-attachment-id='2975c777-37b3-4423-8f6e-b91e4a644263' data-entity-id='410466' /></span> </p>","","<ol>
<li>Remove chip End Date</li>
<li>Check data in pop-up</li>
<li>Select another status</li>
</ol>","",""
"","","","","","","","","","","
Step Description:
<ol>
<li>Click on Filter</li>
<li>Set custom date &gt; Last week (last day, last month, last year)</li>
<li>Select status</li>
<li>Apply</li>
<li>Remove chip Start Date</li>
</ol>
Expected Result:
<p>The Start date is reset in pop-up</p>","","<p>The Start date is reset in pop-up</p>","","<ol>
<li>Click on Filter</li>
<li>Set custom date &gt; Last week (last day, last month, last year)</li>
<li>Select status</li>
<li>Apply</li>
<li>Remove chip Start Date</li>
</ol>","",""
"","","","","","","","","","","
Step Description:
<ol>
<li>Remove chip End Date</li>
<li>Check data in pop-up</li>
<li>Select another status</li>
</ol>
Expected Result:
<p>The End date is reset in pop-up</p>","","<p>The End date is reset in pop-up</p>","","<ol>
<li>Remove chip End Date</li>
<li>Check data in pop-up</li>
<li>Select another status</li>
</ol>","",""
"C410469","Order details page > open page","","<ol>
<li>User redirected to Order's details page</li>
</ol>
","Medium","Order details page","1","","Orders (Desktop+Mobile) > Order details page","<ol>
<li>Click on Order number line in the  list</li>
</ol>
","","","","","","Other","1"
"C410470","Order status =New > """"Pay now"""" is  shown","","","Medium","Order details page","1","","Orders (Desktop+Mobile) > Order details page","","Step Description:
<p>Open an Order with a gift and comment</p>
Expected Result:
<p>The order details page is opened</p>","","<p>The order details page is opened</p>","","<p>Open an Order with a gift and comment</p>","Other","1"
"","","","","","","","","","","
Step Description:
<p>Check the Order data section</p>
Expected Result:
<p>The status is New</p>","","<p>The status is New</p>","","<p>Check the Order data section</p>","",""
"","","","","","","","","","","
Step Description:
<p>Check the Pay Now button</p>
Expected Result:
<p>The button Pay Now is shown under the Order summary block</p>","","<p>The button Pay Now is shown under the Order summary block</p>","","<p>Check the Pay Now button</p>","",""
"","","","","","","","","","","
Step Description:
<p>Click on the Pay now button</p>
Expected Result:
<p>The Payment page is opened</p>","","<p>The Payment page is opened</p>","","<p>Click on the Pay now button</p>","",""
"C410471","Order status = Completed > """"Reorder All"""" is shown","","","Medium","Order details page","1","","Orders (Desktop+Mobile) > Order details page","","Step Description:
<p>Open an Order1 with the status Completed<br />Check the Order data section</p>
Expected Result:
<p>The status is Completed</p>","","<p>The status is Completed</p>","","<p>Open an Order1 with the status Completed<br />Check the Order data section</p>","Other","1"
"","","","","","","","","","","
Step Description:
<p>Check the Reorder All button</p>
Expected Result:
<p>The Reorder All button is shown</p>","","<p>The Reorder All button is shown</p>","","<p>Check the Reorder All button</p>","",""
"C410472","Order status is not New or Completed","https://virtowayqa.testrail.io/index.php?/attachments/get/1000002797, https://virtowayqa.testrail.io/index.php?/attachments/get/1000004469","","Medium","Order details page","1","","Orders (Desktop+Mobile) > Order details page","","Step Description:
<p>Open an Order1 with the status Processing</p>
Expected Result:
<p>The order details page is opened</p>","","<p>The order details page is opened</p>","","<p>Open an Order1 with the status Processing</p>","Other","1"
"","","","","","","","","","","
Step Description:
<p>Check the Order data section</p>
Expected Result:
<p>The status is Processing</p>","","<p>The status is Processing</p>","","<p>Check the Order data section</p>","",""
"","","","","","","","","","","
Step Description:
<p>Check the Pay Now button</p>
Expected Result:
<p>The button Pay Now <strong>is hidden</strong></p>

<p><span class=""""markdown-img-container""""><img src='index.php?/attachments/get/f7bcd1da-0ff6-4ff4-9f78-532c7ec669b5' class='fr-fic fr-dib fr-fil markdown-img' width='300' id='attachment-f7bcd1da-0ff6-4ff4-9f78-532c7ec669b5' data-attachment-id='f7bcd1da-0ff6-4ff4-9f78-532c7ec669b5' data-entity-id='410472' /></span> </p>","","<p>The button Pay Now <strong>is hidden</strong></p>

<p><span class=""markdown-img-container""><img src='index.php?/attachments/get/f7bcd1da-0ff6-4ff4-9f78-532c7ec669b5' class='fr-fic fr-dib fr-fil markdown-img' width='300' id='attachment-f7bcd1da-0ff6-4ff4-9f78-532c7ec669b5' data-attachment-id='f7bcd1da-0ff6-4ff4-9f78-532c7ec669b5' data-entity-id='410472' /></span> </p>","","<p>Check the Pay Now button</p>","",""
"","","","","","","","","","","
Step Description:
<p>Go to admin > Set status = pending for Order<br />Go to storefront > Orders<br />Open Order</p>
Expected Result:
<p>The status is Pending<br />The button Pay now <strong>is hidden</strong></p>

<p><span class=""""markdown-img-container""""><img src='index.php?/attachments/get/9a085604-9833-4696-9e3b-f5f1c0597e98' class='fr-fic fr-dib fr-fil markdown-img' width='300' id='attachment-9a085604-9833-4696-9e3b-f5f1c0597e98' data-attachment-id='9a085604-9833-4696-9e3b-f5f1c0597e98' data-entity-id='410472' /></span> </p>","","<p>The status is Pending<br />The button Pay now <strong>is hidden</strong></p>

<p><span class=""markdown-img-container""><img src='index.php?/attachments/get/9a085604-9833-4696-9e3b-f5f1c0597e98' class='fr-fic fr-dib fr-fil markdown-img' width='300' id='attachment-9a085604-9833-4696-9e3b-f5f1c0597e98' data-attachment-id='9a085604-9833-4696-9e3b-f5f1c0597e98' data-entity-id='410472' /></span> </p>","","<p>Go to admin > Set status = pending for Order<br />Go to storefront > Orders<br />Open Order</p>","",""
"C410473","Order details  > Print order","https://virtowayqa.testrail.io/index.php?/attachments/get/1000002705","<p>Print icon displays <br />system opens the print page in a new tab</p>

<p><span class=""""markdown-img-container""""><img src='index.php?/attachments/get/95621242-c8e6-4633-a85d-26202366f899' class='fr-fic fr-dib fr-fil markdown-img' width='300' id='attachment-95621242-c8e6-4633-a85d-26202366f899' data-attachment-id='95621242-c8e6-4633-a85d-26202366f899' data-entity-id='410473' /></span></p>
","Medium","Order details page","1","","Orders (Desktop+Mobile) > Order details page","<p>Create Order <br />Open the Order details page <br />Click on Print icon</p>
","","","","","","Other","1"
"C410437","Reorder all > Successfully added > All products are available","","","Medium","Reorder all","1","","Orders (Desktop+Mobile) > Reorder all","","Step Description:
Click button Reorder all
Check the Popup
Expected Result:
The title is shown as """"Adding products to cart result"""".

Section Successfully added with count (uncollapsed by default)

- SKU
- Product's title (link)
- Quantity
- Scrolling

Button Ok


  
","","The title is shown as ""Adding products to cart result"".

Section Successfully added with count (uncollapsed by default)

- SKU
- Product's title (link)
- Quantity
- Scrolling

Button Ok


  
","","Click button Reorder all
Check the Popup","Other","0"
"","","","","","","","","","","
Step Description:
Click on the section Successfully added
Click one more time
Expected Result:
The section is collapsed. The list of products is hidden
The section is uncollapsed. The list of products shown","","The section is collapsed. The list of products is hidden
The section is uncollapsed. The list of products shown","","Click on the section Successfully added
Click one more time","",""
"","","","","","","","","","","
Step Description:
Click Ok
Go to the cart and check the products
Expected Result:
All products were added to the cart successfully. ","","All products were added to the cart successfully. ","","Click Ok
Go to the cart and check the products","",""
"C410438","Reorder all > Not added > out of stock","","","Medium","Reorder all","1","","Orders (Desktop+Mobile) > Reorder all","","Step Description:
Click button Reorder all
Check the Popup
Expected Result:
The product_1 is shown in the section Not added
 

 
","","The product_1 is shown in the section Not added
 

 
","","Click button Reorder all
Check the Popup","Other","0"
"","","","","","","","","","","
Step Description:
Click on the section Not added added
Click one more time
Expected Result:
The section is collapsed. The list of products is hidden
The section is uncollapsed. The list of products shown","","The section is collapsed. The list of products is hidden
The section is uncollapsed. The list of products shown","","Click on the section Not added added
Click one more time","",""
"","","","","","","","","","","
Step Description:
Click Ok
Go to the cart and check the products
Expected Result:
Product_1 was not added to the cart.","","Product_1 was not added to the cart.","","Click Ok
Go to the cart and check the products","",""
"C410439","Reorder all > Not added > Can't be purchased","","","Medium","Reorder all","1","","Orders (Desktop+Mobile) > Reorder all","","Step Description:
Click button Reorder all
Check the Popup
Expected Result:
The product_1 is shown in the section Not added

  



","","The product_1 is shown in the section Not added

  



","","Click button Reorder all
Check the Popup","Other","0"
