"ID","Title","Attachments","Expected Result","Priority","Section","Section Depth","Section Description","Section Hierarchy","Steps","Steps","Steps (Additional Info)","Steps (Expected Result)","Steps (References)","Steps (Step)","Type"
"C389625","PDP > Image gallery","https://virtowayqa.testrail.io/index.php?/attachments/get/1000002935, https://virtowayqa.testrail.io/index.php?/attachments/get/1000004367","","Medium","Default variation layout","2","","Product details page > Variations  (Desktop+Mobile) > Default variation layout","","Step Description:
Open PDP of Product1
Check Carusel Pagination 
Expected Result:
There are 3 dots displayed under the product image ","","There are 3 dots displayed under the product image ","","Open PDP of Product1
Check Carusel Pagination ","Other"
"","","","","","","","","","","
Step Description:
Go to admin &gt; Catalog
Add one more image to Product1

Return to the storefront &gt; Product1 &gt; PDP

Check image gallery



Expected Result:
There are 4 images are displayed

 

 ![](index.php?/attachments/get/a09e2ae8-001b-4de0-8b2d-9063b66a1f57)
","","There are 4 images are displayed

 

 ![](index.php?/attachments/get/a09e2ae8-001b-4de0-8b2d-9063b66a1f57)
","","Go to admin &gt; Catalog
Add one more image to Product1

Return to the storefront &gt; Product1 &gt; PDP

Check image gallery


",""
"","","","","","","","","","","
Step Description:
Try to click on the images
Forward 
Backward
Expected Result:
The main image is switching","","The main image is switching","","Try to click on the images
Forward 
Backward",""
"","","","","","","","","","","
Step Description:
Open the Product detail page of product2

Try to click on the images
Forward 
Backward



Expected Result:
5 images are displayed in two rows

The navigation buttons are displayed
The main image is switching

 ![](index.php?/attachments/get/f672d4ba-a40b-4831-9b7d-40114bcbff12) 



","","5 images are displayed in two rows

The navigation buttons are displayed
The main image is switching

 ![](index.php?/attachments/get/f672d4ba-a40b-4831-9b7d-40114bcbff12) 



","","Open the Product detail page of product2

Try to click on the images
Forward 
Backward


",""
"","","","","","","","","","","
Step Description:
Open the Product detail page of product3

Try to click on the images
Forward 
Backward



Expected Result:
images are gathered


The navigation buttons are displayed
The main image is switching
","","images are gathered


The navigation buttons are displayed
The main image is switching
","","Open the Product detail page of product3

Try to click on the images
Forward 
Backward


",""
"C389626","PDP > Video > Check player","https://virtowayqa.testrail.io/index.php?/attachments/get/1000002026","","Medium","Default variation layout","2","","Product details page > Variations  (Desktop+Mobile) > Default variation layout","","Step Description:
Open PDP of Product1
Click on the video
Check the layout
Expected Result:
1. The video preview is displayed
2. The video is played in the mini-player.","","1. The video preview is displayed
2. The video is played in the mini-player.","","Open PDP of Product1
Click on the video
Check the layout","Other"
"","","","","","","","","","","
Step Description:
Try to move
Forward
Backward
Expected Result:
The video is scrolling forward and backward","","The video is scrolling forward and backward","","Try to move
Forward
Backward",""
"","","","","","","","","","","
Step Description:
Go to the product page from admin &gt; Video
Edit the title of the video
Save

Return to store
Open PDP of Product1
Click on the video
Check the video title
Expected Result:
The title is updated","","The title is updated","","Go to the product page from admin &gt; Video
Edit the title of the video
Save

Return to store
Open PDP of Product1
Click on the video
Check the video title",""
"C389627","PDP > Video > Add new video","https://virtowayqa.testrail.io/index.php?/attachments/get/1000002812","1. 4 preview thumbnails are displayed two in one row
2. The video is played in the mini-player.


 ![](index.php?/attachments/get/9a66592d-3a0d-4c83-ad68-75078a55692d) 


","Medium","Default variation layout","2","","Product details page > Variations  (Desktop+Mobile) > Default variation layout","Open PDP of Product1
Click on the video
Check the layout","","","","","","Other"
"C389628","PDP > Video > Delete video","","The video is no longer displayed on the product page","Medium","Default variation layout","2","","Product details page > Variations  (Desktop+Mobile) > Default variation layout","Open PDP of Product1
Check the video

","","","","","","Other"
"C389629","MOBILE > PDP > Image carousel Pagination","","","Medium","Default variation layout","2","","Product details page > Variations  (Desktop+Mobile) > Default variation layout","","Step Description:
Open PDP of Product1
Check Carusel Pagination
Expected Result:
There are 3 dots displayed under the product image


","","There are 3 dots displayed under the product image


","","Open PDP of Product1
Check Carusel Pagination","Other"
"","","","","","","","","","","
Step Description:
Go to admin &gt; Catalog
Add one more image to Product1

Return to the storefront &gt; Product1 &gt; PDP

Check image gallery
Expected Result:
There are 4 dots displayed under the product image","","There are 4 dots displayed under the product image","","Go to admin &gt; Catalog
Add one more image to Product1

Return to the storefront &gt; Product1 &gt; PDP

Check image gallery",""
"","","","","","","","","","","
Step Description:
Try to click on the images
Forward
Backward
Expected Result:
The main image is switching
The dots are also switching","","The main image is switching
The dots are also switching","","Try to click on the images
Forward
Backward",""
"","","","","","","","","","","
Step Description:
Open the Product detail page of product2

Try to click on the images
Forward
Backward
Expected Result:
There are 5 dots displayed under the product image","","There are 5 dots displayed under the product image","","Open the Product detail page of product2

Try to click on the images
Forward
Backward",""
"","","","","","","","","","","
Step Description:
Open the Product detail page of product3

Try to click on the images
Forward
Backward
Expected Result:
There are 7 dots displayed under the product image","","There are 7 dots displayed under the product image","","Open the Product detail page of product3

Try to click on the images
Forward
Backward",""
"C389630","PDP > Properties > See more/ See less","","","Medium","Default variation layout","2","","Product details page > Variations  (Desktop+Mobile) > Default variation layout","","Step Description:
Go to Catalog
Find Product1
Open PDP
Check properties block
Expected Result:
The """"See more"""" button does not display","","The ""See more"" button does not display","","Go to Catalog
Find Product1
Open PDP
Check properties block","Other"
"","","","","","","","","","","
Step Description:
Go to Catalog
Find Product2
Open PDP
Check properties block
Expected Result:
The """"See more"""" button displays by default

  

","","The ""See more"" button displays by default

  

","","Go to Catalog
Find Product2
Open PDP
Check properties block",""
"","","","","","","","","","","
Step Description:
Click on See more
Expected Result:
The full properties details are opened

The button text changed to “See less“","","The full properties details are opened

The button text changed to “See less“","","Click on See more",""
"","","","","","","","","","","
Step Description:
Click on See less
Expected Result:
The part of the text is hidden. Only 8 line displays

The button text changed to “See more“","","The part of the text is hidden. Only 8 line displays

The button text changed to “See more“","","Click on See less",""
"","","","","","","","","","","
Step Description:
Go to Catalog
Find Product3
Open PDP
Check properties block
Expected Result:
The """"See more"""" button displays by default","","The ""See more"" button displays by default","","Go to Catalog
Find Product3
Open PDP
Check properties block",""
"","","","","","","","","","","
Step Description:
Try to click the See more and See less button
Expected Result:
The text uncollapsed and collapsed.","","The text uncollapsed and collapsed.","","Try to click the See more and See less button",""
"C389631","PDP > Descriptions > See more/ See less","","","Medium","Default variation layout","2","","Product details page > Variations  (Desktop+Mobile) > Default variation layout","","Step Description:
Go to Catalog
Find Product1
Open PDP
Check descriptions block
Expected Result:
The """"See more"""" button does not display","","The ""See more"" button does not display","","Go to Catalog
Find Product1
Open PDP
Check descriptions block","Other"
"","","","","","","","","","","
Step Description:
Go to Catalog
Find Product2
Open PDP
Check descriptions block
Expected Result:
The """"See more"""" button displays by default

  

","","The ""See more"" button displays by default

  

","","Go to Catalog
Find Product2
Open PDP
Check descriptions block",""
