"ID","Title","Attachments","Expected Result","Priority","Section","Section Depth","Section Description","Section Hierarchy","Steps","Steps","Steps (Additional Info)","Steps (Expected Result)","Steps (References)","Steps (Step)","Type"
"","","","","","","","","","","
Step Description:
1. Check the Registration form
Expected Result:
1. The title Registration
2. Switcher between  Personal and Organization (selected by default) accounts
3. Registration form contains next fields:
- First name (required) 
- Last name (required)  
- Email (required) 
- Organization Name (required)   
- Password (required) with eye icon
- Confirm password (required) with eye icon
4. Button Register 
5. Tips for creating a strong password


","","1. The title Registration
2. Switcher between  Personal and Organization (selected by default) accounts
3. Registration form contains next fields:
- First name (required) 
- Last name (required)  
- Email (required) 
- Organization Name (required)   
- Password (required) with eye icon
- Confirm password (required) with eye icon
4. Button Register 
5. Tips for creating a strong password


","","1. Check the Registration form",""
"C389064","Create account > ORGANIZATION","https://virtowayqa.testrail.io/index.php?/attachments/get/1000003474","","Medium","Registration  (Desktop+Mobile)","0","","Registration  (Desktop+Mobile)","","Step Description:
1. Open the registration form
2. Select the """"Organization"""" switch
3. Enter necessary information:
- First name ( eg Contact_1)
- Last name
- Email_1
- Organization Name (eg Organization_1)
- Password
- Confirm password (Passwords must match)
2. Click the button Sign up (enabled by default)


Expected Result:
1. The page with the text: """"Registration successfully completed""""
2. Button Home page","","1. The page with the text: ""Registration successfully completed""
2. Button Home page","","1. Open the registration form
2. Select the ""Organization"" switch
3. Enter necessary information:
- First name ( eg Contact_1)
- Last name
- Email_1
- Organization Name (eg Organization_1)
- Password
- Confirm password (Passwords must match)
2. Click the button Sign up (enabled by default)

","Automated"
"","","","","","","","","","","
Step Description:
1. Click on the button Home page 
Expected Result:
1. Home page opens.","","1. Home page opens.","","1. Click on the button Home page ",""
"","","","","","","","","","","
Step Description:
1.  Check the mail_1
Expected Result:
1. Arrived mail with text """"To complete your create account process please click this link: &lt;link&gt;"""" ","","1. Arrived mail with text ""To complete your create account process please click this link: &lt;link&gt;"" ","","1.  Check the mail_1",""
"","","","","","","","","","","
Step Description:
1. Click on link from mail_1
Expected Result:
1. Verification page opens

 ![](index.php?/attachments/get/c3556514-1494-46b7-bd58-08c21f3dff17) 

","","1. Verification page opens

 ![](index.php?/attachments/get/c3556514-1494-46b7-bd58-08c21f3dff17) 

","","1. Click on link from mail_1",""
"","","","","","","","","","","
Step Description:
1. Try to log in by using email
Expected Result:
1.  User logged in store","","1.  User logged in store","","1. Try to log in by using email",""
"","","","","","","","","","","
Step Description:
1. Go to Admin Environment &gt; Contacts
2. Check the Contact_1
Expected Result:
1. Organization_1 created
2. Contact_1 belonging Organization_1 created","","1. Organization_1 created
2. Contact_1 belonging Organization_1 created","","1. Go to Admin Environment &gt; Contacts
2. Check the Contact_1",""
"","","","","","","","","","","
Step Description:
1. Go to Admin Environment &gt; Security &gt; Users
2. Check the User_1
3. Check account type
Expected Result:
1. User_1 created
2. Account type is **Customer**","","1. User_1 created
2. Account type is **Customer**","","1. Go to Admin Environment &gt; Security &gt; Users
2. Check the User_1
3. Check account type",""
"C389065","Registration form > Password visibility","","","Medium","Registration  (Desktop+Mobile)","0","","Registration  (Desktop+Mobile)","","Step Description:
1. Open Personal registration form
2. Fill __Password__ + __Confirm password__ fields
3. Pay attention on the filling passwords symbols and Eye icons states
Expected Result:
1. Password symbols invisible
2. Eye icons is not crossed out ","","1. Password symbols invisible
2. Eye icons is not crossed out ","","1. Open Personal registration form
2. Fill __Password__ + __Confirm password__ fields
3. Pay attention on the filling passwords symbols and Eye icons states","Other"
"","","","","","","","","","","
Step Description:
1. Click on the each Eye icon
2. Pay attention to the Password symbols and Eye icon state   
Expected Result:
1. Password symbols are visible
2. Eye icons is crossed out ","","1. Password symbols are visible
2. Eye icons is crossed out ","","1. Click on the each Eye icon
2. Pay attention to the Password symbols and Eye icon state   ",""
"","","","","","","","","","","
Step Description:
1. Click on the each Eye icon one more time
2. Pay attention to the Password symbols and Eye icon state   
Expected Result:
1. Password symbols invisible
2. Eye icons is not crossed out ","","1. Password symbols invisible
2. Eye icons is not crossed out ","","1. Click on the each Eye icon one more time
2. Pay attention to the Password symbols and Eye icon state   ",""
"","","","","","","","","","","
Step Description:
1. Insert hide symbols in the password field by CTRL + A or other way
2. Copy that by CTRL + C or other way
3. Paste it in the any field
Expected Result:
1. Invisible password symbols not copied","","1. Invisible password symbols not copied","","1. Insert hide symbols in the password field by CTRL + A or other way
2. Copy that by CTRL + C or other way
3. Paste it in the any field",""
"","","","","","","","","","","
Step Description:
1. Make password symbols visible (Click on the Eye icon)
2. Insert this symbols by CTRL + A or other way
3. Paste it in the any field
Expected Result:
1. Visible password symbols copied successful","","1. Visible password symbols copied successful","","1. Make password symbols visible (Click on the Eye icon)
2. Insert this symbols by CTRL + A or other way
3. Paste it in the any field",""
"","","","","","","","","","","
Step Description:
1. Open Organization registration form 
2. Repeat steps 1-5 
Expected Result:
1. Expected results similar","","1. Expected results similar","","1. Open Organization registration form 
2. Repeat steps 1-5 ",""
"C389046","Validation > PERSONAL > required fields","","","Medium","Validation","1","","Registration  (Desktop+Mobile) > Validation","","Step Description:
1. Enter the necessary information, except __First name__
2. Click away from the First name field.


Expected Result:
1. Shows error message about required field First name.    ","","1. Shows error message about required field First name.    ","","1. Enter the necessary information, except __First name__
2. Click away from the First name field.

","Automated"
"","","","","","","","","","","
Step Description:
1. Enter necessary information, except __Last name__
2. Click away from the Last name field.
 
Expected Result:
1. Error message shows about required field Last name.      ","","1. Error message shows about required field Last name.      ","","1. Enter necessary information, except __Last name__
2. Click away from the Last name field.
 ",""
"","","","","","","","","","","
Step Description:
1. Enter necessary information, except __Email__
2. Click away from the Email field.
 
Expected Result:
1. Error message shows about required field Email.        ","","1. Error message shows about required field Email.        ","","1. Enter necessary information, except __Email__
2. Click away from the Email field.
 ",""
"","","","","","","","","","","
Step Description:
1. Enter the necessary information, except __Password__
2. Click away from the Password field.
Expected Result:
1. Error message shows about required field Password.   ","","1. Error message shows about required field Password.   ","","1. Enter the necessary information, except __Password__
2. Click away from the Password field.",""
"C389047","Validation > PERSONAL > max chars","","","Medium","Validation","1","","Registration  (Desktop+Mobile) > Validation","","Step Description:
1. Fill in the field __First name__ with more than 64 chars



Expected Result:
1. Error message shows that field can't be more than 64 chars","","1. Error message shows that field can't be more than 64 chars","","1. Fill in the field __First name__ with more than 64 chars


","Functional"
"","","","","","","","","","","
Step Description:
1. Fill in the field  __Last name__ with more than 64 chars

Expected Result:
1. Error message shows that field can't be more than 64 chars  ","","1. Error message shows that field can't be more than 64 chars  ","","1. Fill in the field  __Last name__ with more than 64 chars
",""
"","","","","","","","","","","
Step Description:
1. Fill in the field  __Email__ with more than 64 chars

Expected Result:
1. Error message shows that field can't be more than 64 chars     ","","1. Error message shows that field can't be more than 64 chars     ","","1. Fill in the field  __Email__ with more than 64 chars
",""
"C389048","Validation > ORGANIZATION > required fields","","","Medium","Validation","1","","Registration  (Desktop+Mobile) > Validation","","Step Description:
1. Enter the necessary information, except __First name__
2. Click away from the __First name__ field.


Expected Result:
1. Error message shows about required First name  field.    ","","1. Error message shows about required First name  field.    ","","1. Enter the necessary information, except __First name__
2. Click away from the __First name__ field.

","Automated"
